Family	Type	species	n_genes	median_degree	mean_degree	median_strength	median_transitivity	pct_on_conserved	pct_N_correlated
AP2-EREBP	TFF	purple	859	489	4489.3	94.51	0.437	19.2	0
MYB	TFF	purple	725	585	4721.9	122.95	0.413	19.9	0
bHLH	TFF	purple	664	534.5	5065.8	90.47	0.452	21.8	0
NAC	TFF	purple	621	600	5762.1	137.88	0.442	18.2	0.3
MYB-related	TFF	purple	580	1121	9481.1	214.26	0.542	24	0.2
WRKY	TFF	purple	571	416	5010.1	81.42	0.426	22.8	0
bZIP	TFF	purple	522	716.5	7371.1	159.42	0.496	21.1	0
FAR1	TFF	purple	484	558	8861.7	122.95	0.5	21.1	0
C2H2	TFF	purple	441	692	4913	180.77	0.441	15.4	0
GRAS	TFF	purple	380	1280.5	7847.9	216.8	0.534	21.3	0
TRAF	OTR	purple	316	720	8928.7	180.77	0.497	20.6	0
SET	OTR	purple	277	2405	11188.9	565.04	0.604	23.8	0
zf-BED	TFF	purple	267	380	8295.5	80.11	0.479	30	0
CCAAT	TFF	purple	261	1744	9472.1	329.4	0.556	37.9	0
C3H	TFF	purple	259	1517	10423.5	279.67	0.565	28.6	0
ABI3VP1	TFF	purple	232	388.5	7192.7	76.87	0.487	15.9	0
Top	TFF	purple	212	6895	14186.8	1356.46	0.643	45.3	0
PHD	OTR	purple	208	1667.5	9934.3	298.73	0.574	36.5	0
GNAT	OTR	purple	206	981.5	7725.7	165.19	0.519	26.7	0
MADS	TFF	purple	197	427	4728.6	79.6	0.425	13.2	0
mTERF	OTR	purple	183	1812	8762.7	419.42	0.573	20.8	0
ARF	TFF	purple	179	1313	8263.1	195.9	0.577	45.8	0
C2C2-Dof	TFF	purple	175	954	7345.8	195.36	0.491	13.7	0
HB	TFF	purple	172	2361	9194.6	509.98	0.543	35.5	0
AUX/IAA	OTR	purple	162	257.5	5673.4	54.96	0.381	29	1.2
OFP	TFF	purple	153	164	2021	47.26	0.377	6.5	0
HSF	TFF	purple	132	751.5	8827	127.69	0.508	20.5	0
C2C2-GATA	TFF	purple	129	1519	10751.9	328.51	0.602	21.7	0
Tify	TFF	purple	124	688	3567.8	141.76	0.368	27.4	0
SBP	TFF	purple	116	521.5	6832.3	92.42	0.47	19	0
