module_name	n_genes	n_loci	module_size	species
Module_016	8	3	474	sugarcane
Module_001	5	1	19845	sugarcane
Module_1022	2	1	10	sugarcane
Module_126	2	1	69	sugarcane
Module_2972	2	1	4	sugarcane
Module_003	1	1	2809	sugarcane
Module_013	1	1	503	sugarcane
Module_042	1	1	260	sugarcane
Module_1229	1	1	9	sugarcane
Module_1329	1	1	8	sugarcane
Module_2061	1	1	6	sugarcane
Module_360	1	1	21	sugarcane
Module_4370	1	1	3	sugarcane
Module_5291	1	1	3	sugarcane
Module_567	1	1	15	sugarcane
Module_635	1	1	14	sugarcane
Module_001	8	2	44050	purple
Module_002	1	1	17712	purple
Module_010	1	1	1529	purple
Module_013	1	1	1234	purple
Module_020	1	1	1036	purple
Module_1367	1	1	11	purple
Module_188	1	1	46	purple
Module_192	1	1	46	purple
Module_1946	1	1	9	purple
Module_2026	1	1	9	purple
Module_2065	1	1	8	purple
Module_2354	1	1	8	purple
Module_2536	1	1	7	purple
Module_3399	1	1	6	purple
Module_3405	1	1	6	purple
Module_3547	1	1	5	purple
Module_6180	1	1	3	purple
Module_703	1	1	17	purple
