gene	transcript	at_anchor	n_transcripts	bitscore	pident	family	munoz_degree	munoz_betweenness	locus	degree	deg_pct	strength	transitivity	on_cons	our_family	module_name	in_network	our_is_MYB	species
SoffiXsponR570.02Ag331300	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	588	99.7	MYB_related	8	4492	SCA3__SP803280_c111248_g1	12	31.7820035287199	0.647934	0.787878787878788	TRUE	not_a_TF	Module_001	TRUE	FALSE	sugarcane
SoffiXsponR570.02Bg295300	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	584	99.3	MYB_related	8	4492	SCA3__SP803280_c111248_g1	15032	99.4491276220349	6518.242176	0.560493580253462	FALSE	not_a_TF	Module_001	TRUE	FALSE	sugarcane
SoffiXsponR570.02Cg322500	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	591	100	MYB_related	8	4492	SCA3__SP803280_c111248_g1						not_a_TF		FALSE	FALSE	sugarcane
SoffiXsponR570.02Dg322200	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	588	99.7	MYB_related	8	4492	SCA3__SP803280_c111248_g1	2	11.5256812389728	0.162631	0	FALSE	not_a_TF	Module_4370	TRUE	FALSE	sugarcane
SoffiXsponR570.02Eg295800	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	589	99.7	MYB_related	8	4492	SCA3__SP803280_c111248_g1	1	4.52852381885905	0.01941		FALSE	not_a_TF	Module_003	TRUE	FALSE	sugarcane
SoffiXsponR570.02Fg305400	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	585	99.3	MYB_related	8	4492	SCA3__SP803280_c111248_g1	3691	86.759949029602	508.702201	0.902177640037034	FALSE	not_a_TF	Module_001	TRUE	FALSE	sugarcane
SoffiXsponR570.02Gg226400	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	589	99.7	MYB_related	8	4492	SCA3__SP803280_c111248_g1	1	4.52852381885905	0.232366		FALSE	not_a_TF	Module_2061	TRUE	FALSE	sugarcane
SoffiXsponR570.04Ag025900	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1481	98.1	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	9	28.0131346794746	0.423302	0.416666666666667	FALSE	not_a_TF	Module_635	TRUE	FALSE	sugarcane
SoffiXsponR570.04Ag027700	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1205	80	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	6	23.1900607723976	0.532466	0.266666666666667	FALSE	not_a_TF	Module_2972	TRUE	FALSE	sugarcane
SoffiXsponR570.04Bg017700	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1506	99.5	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	128	61.8172907273084	23.212041	0.509104330708662	TRUE	not_a_TF	Module_016	TRUE	FALSE	sugarcane
SoffiXsponR570.04Bg019100	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1261	82.3	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	53	50.1195843952166	7.783397	0.347605224963716	TRUE	not_a_TF	Module_1022	TRUE	FALSE	sugarcane
SoffiXsponR570.04Cg017200	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1512	99.7	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	144	63.3728680650853	26.506463	0.302544677544678	TRUE	not_a_TF	Module_016	TRUE	FALSE	sugarcane
SoffiXsponR570.04Cg018800	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1219	80.8	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	1403	82.6519309939228	113.205318	0.951361612521772	TRUE	not_a_TF	Module_1229	TRUE	FALSE	sugarcane
SoffiXsponR570.04Dg020500	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1513	99.7	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	288	71.5800823367967	64.066853	0.258880178087495	FALSE	not_a_TF	Module_016	TRUE	FALSE	sugarcane
SoffiXsponR570.04Dg022200	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1152	77	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	2	11.5256812389728	0.724242	0	FALSE	not_a_TF	Module_1022	TRUE	FALSE	sugarcane
SoffiXsponR570.04Gg017300	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1504	100	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	330	72.7989609880416	70.965683	0.252574375978631	FALSE	not_a_TF	Module_016	TRUE	FALSE	sugarcane
SoffiXsponR570.04Gg018900	N_R___TRINITY_DN8473_c0_g3_i3	AT4G10770	1	1047	80.9	no_tf	13	762	N_R___TRINITY_DN8473_c0_g3	41	46.8550284257989	4.76917	0.260975609756098	FALSE	not_a_TF	Module_2972	TRUE	FALSE	sugarcane
SoffiXsponR570.06Ag012100	SCA2_2__c76820f1p01331	AT5G59780	5	273	100	MYB	11	5067	SCA2_2__c76820f1p01331	162	64.7235836110567	27.825533	0.211333486695806	TRUE	MYB;MYB-related	Module_567	TRUE	TRUE	sugarcane
SoffiXsponR570.06Ag012300	SCA2_2__c76820f1p01331	AT5G59780	4	230	62.3	MYB	11	5067	SCA2_2__c76820f1p01331	2200	84.7407371103705	313.491361	0.634898507586093	TRUE	MYB;MYB-related	Module_360	TRUE	TRUE	sugarcane
SoffiXsponR570.06Ag137400	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	436	74.6	MYB_related	8	4492	SCA3__SP803280_c111248_g1	10117	93.8546363458145	2804.587119	0.70113290554291	TRUE	not_a_TF	Module_001	TRUE	FALSE	sugarcane
SoffiXsponR570.06Cg113900	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	296	80.1	MYB_related	8	4492	SCA3__SP803280_c111248_g1						not_a_TF		FALSE	FALSE	sugarcane
SoffiXsponR570.06Dg086900	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	436	74.6	MYB_related	8	4492	SCA3__SP803280_c111248_g1	231	69.2810233287591	17.986073	0.908714473931865	TRUE	not_a_TF	Module_001	TRUE	FALSE	sugarcane
SoffiXsponR570.06Eg019700	SCA2_2__c76820f1p01331	AT5G59780	4	458	100	MYB	11	5067	SCA2_2__c76820f1p01331	185	66.5580278376789	39.317464	0.33930669800235	FALSE	MYB;MYB-related	Module_016	TRUE	TRUE	sugarcane
SoffiXsponR570.06Eg146200	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	436	74.6	MYB_related	8	4492	SCA3__SP803280_c111248_g1	3	15.6959419721623	0.323682	0.333333333333333	FALSE	not_a_TF	Module_5291	TRUE	FALSE	sugarcane
SoffiXsponR570.06Fg016300	SCA2_2__c55824f2p11649	AT5G59780	4	350	97.6	MYB_related	14	6548	SCA2_2__c55824f2p11649	181	66.3070966477161	35.879075	0.274892572130141	TRUE	MYB;MYB-related	Module_016	TRUE	TRUE	sugarcane
SoffiXsponR570.06Fg016500	SCA2_2__c76820f1p01331	AT5G59780	4	256	61	MYB	11	5067	SCA2_2__c76820f1p01331	76	54.6956479121741	11.465273	0.271929824561404	FALSE	MYB;MYB-related	Module_1329	TRUE	TRUE	sugarcane
SoffiXsponR570.06Fg085200	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	433	74.2	MYB_related	8	4492	SCA3__SP803280_c111248_g1						not_a_TF		FALSE	FALSE	sugarcane
SoffiXsponR570.06Gg069800	SCA3__SP803280_c111248_g1_i4	AT3G55960	1	434	74.2	MYB_related	8	4492	SCA3__SP803280_c111248_g1	55	50.7591648696334	14.432781	0.133333333333333	FALSE	not_a_TF	Module_013	TRUE	FALSE	sugarcane
