species	gene	genotype	mean_tpm	anova_p	U_est	U_p	lin_est	lin_p	anova_padj	U_padj	locus	family	our_family	in_network	deg_pct
purple	Soffic.03F0031590-3F	51NG3	0.0258718888888889	0.603370813757965	-0.0892513552597001	0.441695147795203	0.040660284796751	0.539864799457044	0.887310020232301	0.84913047655208	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	95.4354126617402
purple	Soffic.03F0031590-3F	TAGZ	4.07110555555556	0.656393559018111	0.229640004237399	0.588017460937803	0.175969645888386	0.476409033147309	0.878756267554012	0.776113846478126	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	95.4354126617402
purple	Soffic.03G0029470-3G	51NG3	3.415236	0.489376020207442	0.1280959360264	0.713269600303747	-0.232321734977696	0.271598836360604	0.815626700345736	0.84913047655208	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	68.6819162507422
purple	Soffic.03G0029470-3G	TAGZ	0.652449111111111	0.75225385485109	0.425071031426893	0.52365913732356	-0.135148795621426	0.722113294924884	0.878756267554012	0.776113846478126	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	68.6819162507422
purple	Soffic.03G0029950-3C	51NG3	0.0228972222222222	0.799403679744167	0.0325244372284944	0.614214224368125	0.0150951704523447	0.68413975992997	0.929372267988676	0.84913047655208	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	1.96851319494659
purple	Soffic.03G0029950-3C	TAGZ	0.0810771111111111	0.783879912154891	-0.14353262900589	0.56308843742863	-0.0493842198880316	0.72790003392275	0.878756267554012	0.776113846478126	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	1.96851319494659
purple	Soffic.03G0030830-3A	51NG3	23.7798713333333	0.193157508029657	0.398012561079804	0.1637158380584	-0.197670081653593	0.221294862071997	0.811298076923078	0.84913047655208	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	91.0765830114695
purple	Soffic.03G0030830-3A	TAGZ	11.3181948888889	0.11858570846164	0.185416083505762	0.276730905188569	0.195686596445336	0.0713997175892527	0.569211400615872	0.776113846478126	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	91.0765830114695
purple	Soffic.03G0030930-3H	51NG3	2.01503222222222	0.41952545147982	-0.00769015015275909	0.978884204817843	-0.228388147898668	0.20563934109431	0.811298076923078	0.978884204817843	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	95.1041427840779
purple	Soffic.03G0030930-3H	TAGZ	8.07667711111111	0.554518086247577	-0.302907778815882	0.298814552740467	-0.0153209441874758	0.923885371540969	0.878756267554012	0.776113846478126	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	95.1041427840779
purple	Soffic.03G0031200-3D	51NG3	5.09299666666667	0.72434085808232	-0.219965155887635	0.508631278389811	-0.0782219651150671	0.68031329261459	0.929372267988676	0.84913047655208	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	12.8004797093526
purple	Soffic.03G0031200-3D	TAGZ	3.98761433333333	0.275442084167285	-0.356998497806375	0.326370591602389	0.278184128922028	0.199346570517036	0.857334288837973	0.776113846478126	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	12.8004797093526
purple	Soffic.03G0031630-3F	51NG3	20.1301608888889	0.476209477959761	0.304599561065905	0.250931944566047	-0.0363838443244093	0.801449698121226	0.815626700345736	0.84913047655208	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	3.63897168186334
purple	Soffic.03G0031630-3F	TAGZ	22.4212307777778	0.0738751374351718	-0.223625689606102	0.358103452302897	0.350769760125571	0.035408527148189	0.443250824611031	0.776113846478126	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	3.63897168186334
purple	Soffic.03G0031750-3E	51NG3	0.00716966666666667	0.421875	-0.0601416945819873	0.20703125	0	1	0.811298076923078	0.84913047655208	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	98.8739175675914
purple	Soffic.03G0031750-3E	TAGZ	3.99942011111111	0.0318139710105061	-0.157488657611081	0.540666427752838	0.496008347656889	0.0122535899145661	0.443250824611031	0.776113846478126	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	98.8739175675914
purple	Soffic.05G0021340-5A	51NG3	0.0257638888888889	0.421875	-0.200570580845841	0.20703125	0	1	0.811298076923078	0.84913047655208	SCA2_2__c76820f1p01331	MYB	MYB	TRUE	28.8613369546686
purple	Soffic.05G0021340-5A	TAGZ	0								SCA2_2__c76820f1p01331	MYB	MYB	TRUE	28.8613369546686
purple	Soffic.05G0022030-5F	51NG3	0								SCA2_2__c76820f1p01331	MYB	not_a_TF	FALSE	
purple	Soffic.05G0022030-5F	TAGZ	0								SCA2_2__c76820f1p01331	MYB	not_a_TF	FALSE	
purple	Soffic.09C0016350-9C	51NG3	4.08774211111111	0.193392255401558	0.302082003929016	0.582590932374998	0.603557962219415	0.0912139942021035	0.811298076923078	0.84913047655208	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	42.0589290018401
purple	Soffic.09C0016350-9C	TAGZ	2.50206533333333	0.93281503966986	-0.025833948849433	0.948562653297914	0.0818428981997379	0.724763419489455	0.93281503966986	0.986079529946915	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	42.0589290018401
purple	Soffic.09G0001580-9H	51NG3	60.7507428888889	0.0126397300494787	5.38586868251411	0.007811341794585	-1.66424939463549	0.0807605888423999	0.315993251236967	0.195283544864625	SCA2_2__c76820f1p01331	MYB	MYB	TRUE	47.8859867256897
purple	Soffic.09G0001580-9H	TAGZ	60.3653333333333	0.285778096279324	1.85614682369116	0.142020405742943	0.319352630731547	0.632513141825873	0.857334288837973	0.776113846478126	SCA2_2__c76820f1p01331	MYB	MYB	TRUE	47.8859867256897
purple	Soffic.09G0014920-9G	51NG3	19.1520595555556	0.858448399076285	0.37127172768613	0.680754866010743	0.176384074575532	0.7343274232869	0.929372267988676	0.84913047655208	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	60.8296149979718
purple	Soffic.09G0014920-9G	TAGZ	10.0702774444444	0.818488352139489	-0.390965237574457	0.564871338088449	0.0772360446021447	0.841831469705302	0.878756267554012	0.776113846478126	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	60.8296149979718
purple	Soffic.09G0014970-9E	51NG3	4.30476255555556	0.929372267988676	0.15403713776563	0.864338168565208	0.170221138603331	0.744502150491962	0.929372267988676	0.900352258922092	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	36.5334532606715
purple	Soffic.09G0014970-9E	TAGZ	2.56353822222222	0.240610733437549	-0.572905754081148	0.234079309538488	0.344388855114838	0.217598599344144	0.857334288837973	0.776113846478126	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	36.5334532606715
purple	Soffic.09G0016060-9B	51NG3	12.950424	0.691839530864101	0.783643385164869	0.41577549351126	-0.0736729314183506	0.891499379555679	0.929372267988676	0.84913047655208	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	65.9562147639959
purple	Soffic.09G0016060-9B	TAGZ	5.67856411111111	0.842141423072595	-0.341891689594555	0.67909961566836	-0.184431710597005	0.698827979222359	0.878756267554012	0.776113846478126	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	65.9562147639959
purple	Soffic.10E0001590-10E	51NG3	1.67034522222222	0.602160884813571	-0.369555761188861	0.59328109288857	0.3357554128863	0.409065936281042	0.887310020232301	0.84913047655208	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	89.6930095295204
purple	Soffic.10E0001590-10E	TAGZ	8.26952688888889	0.73018358174127	0.382488311287807	0.462756548288113	0.061769337915059	0.833650184115672	0.878756267554012	0.776113846478126	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	89.6930095295204
purple	Soffic.10F0000950-10F	51NG3	4.46330811111111	0.79284324825624	0.584104523526486	0.526040302527184	-0.0865733425654773	0.868524177197327	0.929372267988676	0.84913047655208	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	31.5993839026943
purple	Soffic.10F0000950-10F	TAGZ	1.446824	0.711425586128241	-0.70703244392735	0.662971639211643	-0.637056444550244	0.501472000499121	0.878756267554012	0.776113846478126	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	31.5993839026943
purple	Soffic.10G0001570-10E	51NG3	0								N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	FALSE	
purple	Soffic.10G0001570-10E	TAGZ	0								N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	FALSE	
purple	Soffic.10G0001580-10B	51NG3	1.97596511111111	0.908987617733174	-0.198097504036363	0.695481874198353	-0.0441537841161526	0.879191724251195	0.929372267988676	0.84913047655208	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	0.352727465124072
purple	Soffic.10G0001580-10B	TAGZ	1.89458	0.0389567358728065	0.468558741722793	0.0450117554606472	0.247304807504957	0.0604468130362674	0.443250824611031	0.540141065527766	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	0.352727465124072
purple	Soffic.10G0001590-10A	51NG3	0.965398444444445	0.394339307710396	-0.0737848798069154	0.806980141984141	-0.242723890050614	0.195926943005098	0.811298076923078	0.900352258922092	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	4.41555998424484
purple	Soffic.10G0001590-10A	TAGZ	0.857178888888889	0.674098060271871	-0.0846593850507451	0.737148578121297	-0.117899955275077	0.428897096931591	0.878756267554012	0.804162085223233	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	4.41555998424484
purple	Soffic.10G0001790-10A	51NG3	10.285352	0.901103271676256	-0.184479517858137	0.853439117602923	0.23086685555206	0.69048363216811	0.929372267988676	0.900352258922092	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	44.0518391797911
purple	Soffic.10G0001790-10A	TAGZ	16.777833	0.831511878968817	0.272088984552543	0.588775245794771	-0.0643173217611093	0.822946487631994	0.878756267554012	0.776113846478126	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	44.0518391797911
purple	Soffic.10G0001830-10B	51NG3	7.74041455555556	0.32853156294013	-1.06510371373526	0.315838688913093	0.687889528115345	0.266829453517578	0.811298076923078	0.84913047655208	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	28.5982610535969
purple	Soffic.10G0001830-10B	TAGZ	8.19293266666667	0.658686701346398	0.205317348184974	0.617864213960452	0.177421859940941	0.461213428601368	0.878756267554012	0.776113846478126	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	28.5982610535969
purple	Soffic.10G0001910-10D	51NG3	1.13512666666667	0.253789473353415	-0.997746364227661	0.18673037906563	0.433148615033709	0.3052952385842	0.811298076923078	0.84913047655208	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	11.7664003574305
purple	Soffic.10G0001910-10D	TAGZ	0.845609222222222	0.683901987710295	0.204387270286346	0.507582491405379	-0.0938565376750539	0.595579258396325	0.878756267554012	0.776113846478126	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	11.7664003574305
purple	Soffic.10G0002440-10H	51NG3	1.68398044444444	0.0444529328324419	-0.738245887028754	0.37424314952398	-1.40552605498431	0.0194444871425387	0.555661660405523	0.84913047655208	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	61.3052091967808
purple	Soffic.10G0002440-10H	TAGZ	0.239391222222222	0.688777239605849	0.253241325081143	0.427053689119272	0.0449533724587267	0.8021814102788	0.878756267554012	0.776113846478126	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	61.3052091967808
purple	Soffic.10G0002510-10C	51NG3	7.33567477777778	0.372497752525839	-0.962788557327126	0.39063128948409	0.731831235388751	0.268987385739452	0.811298076923078	0.84913047655208	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	89.1944880454783
purple	Soffic.10G0002510-10C	TAGZ	0.121604111111111	0.635748691448068	-0.00308397348682067	0.986079529946915	0.0967966913501392	0.360987009539089	0.878756267554012	0.986079529946915	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	89.1944880454783
purple	Soffic.10G0002520-10C	51NG3	0.0110663333333333	0.421875000000001	-0.0913165839360022	0.20703125	0	1	0.811298076923078	0.84913047655208	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	19.4564469762438
purple	Soffic.10G0002520-10C	TAGZ	0.0102673333333333	0.421875	-0.0850060954582288	0.20703125	0	1	0.878756267554012	0.776113846478126	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	19.4564469762438
purple	Soffic.10G0002620-10H	51NG3	0.420093	0.340920528163315	-0.345523218797943	0.311290365498157	0.210957450699883	0.286719057571649	0.811298076923078	0.84913047655208	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	89.0951364761351
purple	Soffic.10G0002620-10H	TAGZ	2.02595755555556	0.0555015601029654	0.421470039567395	0.0367696934881944	-0.145896437303419	0.15984057227584	0.443250824611031	0.540141065527766	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	89.0951364761351
