Family	Type	TF_genes	in_network
AP2-EREBP	TFF	1280	859
MYB	TFF	1062	725
bHLH	TFF	956	664
NAC	TFF	891	621
MYB-related	TFF	719	580
WRKY	TFF	691	571
bZIP	TFF	675	522
FAR1	TFF	774	484
C2H2	TFF	670	441
GRAS	TFF	509	380
TRAF	OTR	525	316
SET	OTR	328	277
zf-BED	TFF	423	267
CCAAT	TFF	336	261
C3H	TFF	314	259
ABI3VP1	TFF	350	232
Top	TFF	238	212
PHD	OTR	250	208
GNAT	OTR	270	206
MADS	TFF	456	197
mTERF	OTR	233	183
ARF	TFF	200	179
C2C2-Dof	TFF	237	175
HB	TFF	233	172
AUX/IAA	OTR	191	162
OFP	TFF	242	153
HSF	TFF	166	132
C2C2-GATA	TFF	190	129
Tify	TFF	165	124
SBP	TFF	150	116
TCP	TFF	145	110
FHA	TFF	127	103
TUB	TFF	127	96
GeBP	TFF	120	91
PAS	TFF	101	83
SWI/SNF-BAF60b	OTR	99	83
Alfin-like	TFF	89	82
Jumonji	OTR	87	78
zf-HD	TFF	103	68
zf-A20	TFF	92	67
SAP	TFF	80	63
MED26	OTR	85	62
DDT	OTR	64	60
E2F-DP	TFF	76	55
BSD	TFF	57	55
LIM	TFF	66	53
C2C2-CO-like	TFF	56	51
Sigma70-like	TFF	63	50
GRF	TFF	68	49
CPP	TFF	59	49
RWP-RK	TFF	84	48
Trihelix	TFF	53	47
TAZ	TFF	47	46
HMG	OTR	58	44
BES1	TFF	68	42
PLATZ	TFF	84	41
ARID	OTR	47	38
Pseudo_ARR-B	OTR	41	38
zf-LSD1	TFF	45	35
TIG	TFF	38	35
zf-C5HC2	TFF	39	31
C2C2-YABBY	TFF	66	30
SRS	TFF	40	30
EIL	TFF	38	30
ARR-B	TFF	42	29
BBR/BPC	TFF	28	27
TFIID	TFF	31	23
zf-fF-X1	TFF	23	23
DBP	TFF	24	21
Rcd1-like	OTR	25	20
SWI/SNF-SWI3	OTR	25	19
Coactivator_p15	OTR	17	17
Not1	TFF	17	17
SART-1	OTR	18	16
PBF-2-like	TFF	16	16
G2-like	TFF	15	15
NOT2_3_5	OTR	15	15
CAMTA	TFF	16	13
CSD	TFF	14	13
VOZ	TFF	14	13
zf-MIZ	OTR	14	12
MBF1	OTR	19	11
RB	OTR	15	11
Tudor-knot	OTR	12	11
SGT1	OTR	9	9
MED6	OTR	9	8
C1-4-t1	TFF	8	8
SOH1	OTR	8	8
MED7	OTR	8	7
HRT	TFF	7	7
Yl1	TFF	6	6
TFIIS	TFF	9	5
NOZZLE	TFF	6	1
