Family	Type	TF_genes	in_network
AP2-EREBP	TFF	1029	515
bHLH	TFF	892	475
MYB	TFF	842	430
MYB-related	TFF	710	413
NAC	TFF	703	357
WRKY	TFF	612	349
bZIP	TFF	559	291
C2H2	TFF	497	226
GRAS	TFF	491	210
TRAF	OTR	389	192
ABI3VP1	TFF	362	167
CCAAT	TFF	307	164
Top	TFF	222	155
C3H	TFF	245	146
SET	OTR	276	142
MADS	TFF	365	136
PHD	OTR	235	123
AUX/IAA	OTR	179	121
ARF	TFF	148	113
HB	TFF	130	109
GNAT	OTR	203	106
mTERF	OTR	251	96
OFP	TFF	219	93
HSF	TFF	153	91
Tify	TFF	131	90
C2C2-Dof	TFF	183	85
FAR1	TFF	165	78
C2C2-GATA	TFF	155	73
PAS	TFF	81	68
FHA	TFF	108	63
SBP	TFF	123	61
TUB	TFF	84	55
SAP	TFF	81	54
TCP	TFF	134	52
SWI/SNF-BAF60b	OTR	76	50
MED26	OTR	68	49
zf-A20	TFF	76	40
Alfin-like	TFF	66	40
HMG	OTR	56	39
RWP-RK	TFF	56	39
zf-HD	TFF	91	38
zf-BED	TFF	82	37
PLATZ	TFF	81	37
Jumonji	OTR	72	36
LIM	TFF	50	35
C2C2-CO-like	TFF	42	35
BSD	TFF	66	34
DDT	OTR	56	33
GeBP	TFF	99	32
TAZ	TFF	46	32
Sigma70-like	TFF	37	32
zf-LSD1	TFF	42	29
ARID	OTR	38	28
TIG	TFF	33	28
GRF	TFF	54	27
Pseudo_ARR-B	OTR	29	27
E2F-DP	TFF	64	26
EIL	TFF	41	26
CPP	TFF	52	25
C2C2-YABBY	TFF	45	25
zf-C5HC2	TFF	40	23
SRS	TFF	39	23
BES1	TFF	42	22
ARR-B	TFF	34	21
Trihelix	TFF	33	17
DBP	TFF	19	16
SWI/SNF-SWI3	OTR	18	14
G2-like	TFF	13	13
PBF-2-like	TFF	12	12
BBR/BPC	TFF	25	11
zf-fF-X1	TFF	20	11
Not1	TFF	12	11
CAMTA	TFF	17	10
SART-1	OTR	14	10
CSD	TFF	13	10
TFIID	TFF	22	9
NOT2_3_5	OTR	15	9
Coactivator_p15	OTR	13	8
VOZ	TFF	13	8
Rcd1-like	OTR	18	7
Tudor-knot	OTR	15	7
MBF1	OTR	16	6
RB	OTR	13	6
S1Fa-like	TFF	6	6
SOH1	OTR	12	4
zf-MIZ	OTR	10	4
HRT	TFF	7	4
C1-4-t1	TFF	6	4
Yl1	TFF	5	4
TFIIS	TFF	5	3
NOZZLE	TFF	4	3
MED7	OTR	8	2
SGT1	OTR	6	2
MED6	OTR	6	1
