sample,fastq_1,fastq_2,file_1,file_2,strandedness,seq_platform,tissue,treatment,trait,genotype,soil,organism,Accession,BIoSample,Project,dir
L_51N03_2N-1A,CRA028188/CRR2012139/CRR2012139_r1.fq.gz,CRA028188/CRR2012139/CRR2012139_r2.fq.gz,CRR2012139_r1.fq.gz,CRR2012139_r2.fq.gz,auto,ILLUMINA,leaf,2N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum,CRR2012139,SAMC5708702,CRA028188,CRA028188/CRR2012139/
L_51N03_2N-2A,CRA028188/CRR2012140/CRR2012140_r1.fq.gz,CRA028188/CRR2012140/CRR2012140_r2.fq.gz,CRR2012140_r1.fq.gz,CRR2012140_r2.fq.gz,auto,ILLUMINA,leaf,2N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum,CRR2012140,SAMC5708703,CRA028188,CRA028188/CRR2012140/
L_51N03_2N-3A,CRA028188/CRR2012141/CRR2012141_r1.fq.gz,CRA028188/CRR2012141/CRR2012141_r2.fq.gz,CRR2012141_r1.fq.gz,CRR2012141_r2.fq.gz,auto,ILLUMINA,leaf,2N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum,CRR2012141,SAMC5708704,CRA028188,CRA028188/CRR2012141/
L_51N03_6N-1A,CRA028188/CRR2012142/CRR2012142_r1.fq.gz,CRA028188/CRR2012142/CRR2012142_r2.fq.gz,CRR2012142_r1.fq.gz,CRR2012142_r2.fq.gz,auto,ILLUMINA,leaf,6N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum,CRR2012142,SAMC5708705,CRA028188,CRA028188/CRR2012142/
L_51N03_6N-2A,CRA028188/CRR2012143/CRR2012143_r1.fq.gz,CRA028188/CRR2012143/CRR2012143_r2.fq.gz,CRR2012143_r1.fq.gz,CRR2012143_r2.fq.gz,auto,ILLUMINA,leaf,6N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum,CRR2012143,SAMC5708706,CRA028188,CRA028188/CRR2012143/
L_51N03_6N-3A,CRA028188/CRR2012144/CRR2012144_r1.fq.gz,CRA028188/CRR2012144/CRR2012144_r2.fq.gz,CRR2012144_r1.fq.gz,CRR2012144_r2.fq.gz,auto,ILLUMINA,leaf,6N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum,CRR2012144,SAMC5708707,CRA028188,CRA028188/CRR2012144/
L_51N03_ON-1A,CRA028188/CRR2012145/CRR2012145_r1.fq.gz,CRA028188/CRR2012145/CRR2012145_r2.fq.gz,CRR2012145_r1.fq.gz,CRR2012145_r2.fq.gz,auto,ILLUMINA,leaf,0N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum,CRR2012145,SAMC5708708,CRA028188,CRA028188/CRR2012145/
L_51N03_ON-2A,CRA028188/CRR2012146/CRR2012146_r1.fq.gz,CRA028188/CRR2012146/CRR2012146_r2.fq.gz,CRR2012146_r1.fq.gz,CRR2012146_r2.fq.gz,auto,ILLUMINA,leaf,0N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum,CRR2012146,SAMC5708709,CRA028188,CRA028188/CRR2012146/
L_51N03_ON-3A,CRA028188/CRR2012147/CRR2012147_r1.fq.gz,CRA028188/CRR2012147/CRR2012147_r2.fq.gz,CRR2012147_r1.fq.gz,CRR2012147_r2.fq.gz,auto,ILLUMINA,leaf,0N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum,CRR2012147,SAMC5708710,CRA028188,CRA028188/CRR2012147/
L_TA0Z_2N-1A,CRA028188/CRR2012148/CRR2012148_r1.fq.gz,CRA028188/CRR2012148/CRR2012148_r2.fq.gz,CRR2012148_r1.fq.gz,CRR2012148_r2.fq.gz,auto,ILLUMINA,leaf,2N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum,CRR2012148,SAMC5708711,CRA028188,CRA028188/CRR2012148/
L_TA0Z_2N-2A,CRA028188/CRR2012149/CRR2012149_r1.fq.gz,CRA028188/CRR2012149/CRR2012149_r2.fq.gz,CRR2012149_r1.fq.gz,CRR2012149_r2.fq.gz,auto,ILLUMINA,leaf,2N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum,CRR2012149,SAMC5708712,CRA028188,CRA028188/CRR2012149/
