study	clustering	method	param	resource	knn	inflation	n_modules	n_modules_scored	n_subsampled	H	H_null_mean	H_excess
purple	knone.I12	mcl	1.2	default	none	1.2	716	691	11	0.00787145541435369	0.00532576742167036	0.00254568799268332
purple	leiden_cpm.0.01	leiden_cpm	0.01				5795	3997	5	0.0126481003690146	0.00546580466688289	0.00718229570213175
purple	knone.I14	mcl	1.4	default	none	1.4	2498	2412	9	0.0111511499413531	0.00534662194050912	0.00580452800084403
purple	leiden_cpm.0.05	leiden_cpm	0.05				13166	8600	3	0.0184273047284766	0.0056758904853271	0.0127514142431495
purple	knone.I17	mcl	1.7	default	none	1.7	5055	4786	6	0.0142494369758119	0.00547061866117589	0.008778818314636
purple	knone.I2	mcl	2	default	none	2	7722	6894	5	0.0171524144989864	0.00559523900003532	0.0115571754989511
purple	leiden_cpm.0.2	leiden_cpm	0.2				36151	13732	3	0.0285716487217247	0.00629263529216592	0.0222790134295588
purple	knone.I25	mcl	2.5	default	none	2.5	14589	9851	4	0.0227237635971391	0.00585847359991356	0.0168652899972255
purple	knone.I3	mcl	3	default	none	3	22545	11090	4	0.0271939087679842	0.00611051816584836	0.0210833906021359
purple	leiden_cpm.0.5	leiden_cpm	0.5				67717	15344	3	0.0479676674861823	0.00675933164502932	0.041208335841153
purple	knone.I4	mcl	4	default	none	4	35561	11586	4	0.0316176993585202	0.00646910881254077	0.0251485905459794
purple	knone.I6	mcl	6	default	none	6	50417	11121	2	0.0334263150680015	0.00680613054488528	0.0266201845231162
purple	leiden_cpm.0.1	leiden_cpm	0.1				21713	11065	3	0.0224764139560219	0.00591935397470041	0.0165570599813214
purple	leiden_cpm.0.35	leiden_cpm	0.35				51459	15298	3	0.0372069571448382	0.00656709654995641	0.0306398605948818
purple	leiden_cpm.0.7	leiden_cpm	0.7				97014	13755	1	0.0652983514910107	0.00709955041576524	0.0581988010752454
purple	leiden_cpm.0.9	leiden_cpm	0.9				138431	8955	1	0.0619740175257168	0.00780446991589506	0.0541695476098217
purple	leiden_mod.1.0	leiden_mod	1.0				55	36	5	0.00569754481186888	0.00533023538134524	0.000367309430523643
purple	louvain.1.0	louvain	1.0				50	31	5	0.00550600871517136	0.00532459474313993	0.000181413972031434
