study	clustering	method	param	resource	knn	inflation	n_modules	n_modules_scored	n_subsampled	H	H_null_mean	H_excess
sugarcane	leiden_cpm.0.01	leiden_cpm	0.01				19571	6760	2	0.0722379477513314	0.00425690398644874	0.0679810437648827
sugarcane	knone.I12	mcl	1.2	default	none	1.2	2350	1913	4	0.0476724479938566	0.00438466558467615	0.0432877824091805
sugarcane	leiden_cpm.0.05	leiden_cpm	0.05				31530	10019	1	0.10487079629321	0.00397626802189346	0.100894528271316
sugarcane	knone.I14	mcl	1.4	default	none	1.4	4702	3940	4	0.0604557547176776	0.00435794690019227	0.0560978078174853
sugarcane	leiden_cpm.0.2	leiden_cpm	0.2				51571	10640	1	0.157512578956875	0.00351210523781049	0.154000473719065
sugarcane	knone.I17	mcl	1.7	default	none	1.7	7064	5859	3	0.0738620835549109	0.00431406615008731	0.0695480174048236
sugarcane	leiden_cpm.0.5	leiden_cpm	0.5				76387	7246	1	0.23036500888245	0.00314999335332764	0.227215015529123
sugarcane	knone.I2	mcl	2	default	none	2	8795	7226	3	0.0821807377466463	0.00424222327635919	0.0779385144702872
sugarcane	knone.I25	mcl	2.5	default	none	2.5	11687	9257	2	0.0935950751536305	0.0041207449394031	0.0894743302142274
sugarcane	knone.I3	mcl	3	default	none	3	14481	10831	1	0.0997871912878766	0.00403310378251754	0.0957540875053591
sugarcane	knone.I4	mcl	4	default	none	4	19123	12827	1	0.108968317632891	0.00384239000532209	0.105125927627569
sugarcane	knone.I6	mcl	6	default	none	6	25538	14482	1	0.116357043262227	0.00360337828798182	0.112753664974245
sugarcane	knone.I8	mcl	8	default	none	8	30155	15242	1	0.120962078254523	0.00343861572446799	0.117523462530055
sugarcane	leiden_cpm.0.005	leiden_cpm	0.005				17164	5453	3	0.0628707571437965	0.00428719341730977	0.0585835637264867
sugarcane	leiden_cpm.0.025	leiden_cpm	0.025				25040	8729	2	0.0883247946591197	0.0041614830130891	0.0841633116460306
sugarcane	leiden_cpm.0.1	leiden_cpm	0.1				40137	10817	1	0.126284089102027	0.00373829280061061	0.122545796301417
sugarcane	leiden_cpm.0.35	leiden_cpm	0.35				64535	9296	1	0.193766518189365	0.00332686026542048	0.190439657923945
sugarcane	leiden_cpm.0.7	leiden_cpm	0.7				90070	3982	0	0.263177165022402	0.00293647497200961	0.260240690050392
sugarcane	leiden_cpm.0.9	leiden_cpm	0.9				99106	1174	0	0.165392076126506	0.00209220818590892	0.163299867940597
sugarcane	leiden_mod.1.0	leiden_mod	1.0				1107	758	6	0.051369281174315	0.00428018986495527	0.0470890913093598
sugarcane	louvain.1.0	louvain	1.0				1084	737	6	0.0491026424475515	0.00428470340378744	0.044817939043764
sugarcane	knone.I20	mcl	20	default	none	2	31824	12728	1	0.145461721801449	0.00304603633425484	0.142415685467194
sugarcane	knone.I9	mcl	9	default	none	9	31442	15430	1	0.122077813538256	0.00338183286819092	0.118695980670065
sugarcane	knone.I10	mcl	10	default	none	1	32803	15560	1	0.123298700730001	0.00334385826364752	0.119954842466353
sugarcane	knone.I11	mcl	11	default	none	1.1	34163	15654	1	0.124609789683526	0.00330942506989371	0.121300364613632
sugarcane	knone.I13	mcl	13	default	none	1.3	35573	15749	1	0.125508903721024	0.00326008441886727	0.122248819302156
