study	method	param	resource	n_clusters	largest	largest_pct	singletons	eff	mf	af	mod	jury_score	jury_word	runtime_s
purple	mcl	1.2	default	716	65230	38.340	0	0.14845	0.78788	0.17725	0.13773	16.1	terrible	2855
purple	mcl	1.4	default	2498	56566	33.248	0	0.22473	0.73636	0.13268	0.13843	17.1	terrible	2949
purple	mcl	1.7	default	5055	46455	27.305	10	0.32813	0.68257	0.09210	0.14782	18.9	pathetic	3396
purple	mcl	2	default	7722	43816	25.754	276	0.38585	0.65267	0.08166	0.15026	20.1	awful	2350
purple	mcl	2.5	default	14589	41494	24.389	3378	0.45020	0.60566	0.07109	0.15116	22.2	appalling	2384
purple	mcl	3	default	22545	40143	23.595	9383	0.46992	0.58049	0.06648	0.15294	24.1	miserable	2403
purple	mcl	4	default	35561	38568	22.669	21218	0.48835	0.54278	0.06100	0.15294	26.8	abominable	2431
purple	mcl	6	default	50417	38056	22.368	36132	0.49024	0.49680	0.05795	0.14569	29.8	abominable	2507
purple	leiden_cpm	0.01		5795	46594	27.386	1523	0.36560	0.65427	0.08577	0.13002	NA	NA	3268.9
purple	leiden_cpm	0.05		13166	37358	21.958	3568	0.50834	0.55313	0.05461	0.14257	NA	NA	4797.3
purple	leiden_cpm	0.1		21713	33203	19.516	8771	0.55059	0.47422	0.04262	0.14095	NA	NA	3160.7
purple	leiden_cpm	0.2		36151	27644	16.248	19476	0.56105	0.35407	0.02885	0.12866	NA	NA	3903.9
purple	leiden_cpm	0.35		51459	22112	12.997	32725	0.52718	0.25455	0.01833	0.10580	NA	NA	1736.2
purple	leiden_cpm	0.5		67717	17531	10.304	48841	0.48264	0.18385	0.01141	0.07337	NA	NA	4327.3
purple	leiden_cpm	0.7		97014	11211	6.589	80005	0.42112	0.10372	0.00459	0.02812	NA	NA	955.2
purple	leiden_cpm	0.9		138431	3942	2.317	126975	0.37640	0.05167	0.00056	0.00243	NA	NA	1423.0
purple	leiden_mod	1.0		55	47184	27.733	0	0.13838	0.78950	0.21827	0.21215	NA	NA	720.6
purple	louvain	1.0		50	46554	27.363	0	0.13738	0.78815	0.21829	0.21213	NA	NA	1175.5
purple	baseline	one cluster		1	170135	100.000	0	0.03532	1.00000	1.00000	-0.00000	NA	NA	NA
