study	method	param	resource	n_clusters	largest	largest_pct	singletons	eff	mf	af	mod	jury_score	jury_word	runtime_s
sugarcane	mcl	10	default	32803	14898	14.607	12913	0.49088	0.46154	0.02160	0.05581	47.4	shabby	428
sugarcane	mcl	11	default	34163	14761	14.473	14132	0.49370	0.45387	0.02119	0.05536	47.4	shabby	385
sugarcane	mcl	1.2	default	2350	32055	31.430	0	0.11458	0.88508	0.12333	0.08018	33.0	rotten	320
sugarcane	mcl	13	default	35573	14555	14.271	15344	0.49596	0.44553	0.02058	0.05477	47.9	shabby	301
sugarcane	mcl	1.4	default	4702	25206	24.714	1	0.19891	0.81960	0.07411	0.08170	35.0	deplorable	249
sugarcane	mcl	1.7	default	7064	21436	21.018	37	0.27685	0.76294	0.05105	0.08184	37.1	deplorable	231
sugarcane	mcl	2	default	8795	19840	19.453	105	0.32576	0.72001	0.04281	0.08059	39.2	deplorable	219
sugarcane	mcl	20	default	31824	35458	34.766	15300	0.37924	0.55972	0.12092	0.01265	12.5	wretched	1209
sugarcane	mcl	2.5	default	11687	18465	18.105	507	0.38077	0.65954	0.03581	0.07680	41.5	bad	204
sugarcane	mcl	3	default	14481	17744	17.398	1274	0.41891	0.61595	0.03162	0.07037	42.8	bad	195
sugarcane	mcl	4	default	19123	16836	16.507	3239	0.44884	0.56955	0.02820	0.06641	45.0	dodgy	186
sugarcane	mcl	6	default	25538	15867	15.557	7315	0.47281	0.51576	0.02472	0.05996	47.0	shabby	195
sugarcane	mcl	8	default	30155	15275	14.977	10829	0.48521	0.47914	0.02276	0.05690	47.4	shabby	627
sugarcane	mcl	9	default	31442	15100	14.805	11788	0.48766	0.47154	0.02222	0.05639	47.4	shabby	594
sugarcane	leiden_cpm	0.005		17164	17534	17.192	10621	0.34351	0.67454	0.03311	0.08026	NA	NA	142.6
sugarcane	leiden_cpm	0.01		19571	16041	15.728	11495	0.40148	0.63607	0.02708	0.07989	NA	NA	75.1
sugarcane	leiden_cpm	0.025		25040	14118	13.842	14556	0.47603	0.57197	0.02054	0.07783	NA	NA	180.8
sugarcane	leiden_cpm	0.05		31530	12490	12.246	19290	0.52412	0.50850	0.01582	0.07400	NA	NA	193.9
sugarcane	leiden_cpm	0.1		40137	10604	10.397	26539	0.55037	0.42788	0.01127	0.06645	NA	NA	201.5
sugarcane	leiden_cpm	0.2		51571	8387	8.223	37993	0.53919	0.33084	0.00697	0.04914	NA	NA	188.9
sugarcane	leiden_cpm	0.35		64535	6209	6.088	52763	0.49927	0.24948	0.00379	0.02186	NA	NA	131.5
sugarcane	leiden_cpm	0.5		76387	4378	4.293	67170	0.46340	0.19812	0.00188	-0.00036	NA	NA	195.9
sugarcane	leiden_cpm	0.7		90070	2152	2.110	84789	0.43158	0.15851	0.00045	-0.00777	NA	NA	155.1
sugarcane	leiden_cpm	0.9		99106	313	0.307	97268	0.41980	0.14497	0.00001	-0.00044	NA	NA	172.8
sugarcane	leiden_mod	1.0		1107	43768	42.914	0	0.07185	0.85613	0.22978	0.13991	NA	NA	73.7
sugarcane	louvain	1.0		1084	41598	40.786	0	0.06976	0.85356	0.21645	0.13857	NA	NA	142.8
sugarcane	baseline	one cluster		1	101990	100.000	0	0.01058	1.00000	1.00000	-0.00000	NA	NA	NA
