study	knn	knn_mode	inflation	n_clusters	largest	largest_pct	median_size	singletons	efficiency	mass_fraction	area_fraction	modularity	jury_score	jury_word	runtime_s	resource	underflow_vectors
purple	none	none	1.2	716	65230	38.340	23	0	0.14845	0.78788	0.17725	0.13773	16.1	terrible	2855	default	0
purple	none	none	1.4	2498	56566	33.248	11	0	0.22473	0.73636	0.13268	0.13843	17.1	terrible	2949	default	0
purple	none	none	1.7	5055	46455	27.305	7	10	0.32813	0.68257	0.09210	0.14782	18.9	pathetic	3396	default	0
purple	none	none	2	7722	43816	25.754	5	276	0.38585	0.65267	0.08166	0.15026	20.1	awful	2350	default	0
purple	none	none	2.5	14589	41494	24.389	3	3378	0.45020	0.60566	0.07109	0.15116	22.2	appalling	2384	default	0
purple	none	none	3	22545	40143	23.595	2	9383	0.46992	0.58049	0.06648	0.15294	24.1	miserable	2403	default	0
purple	none	none	4	35561	38568	22.669	1	21218	0.48835	0.54278	0.06100	0.15294	26.8	abominable	2431	default	0
purple	none	none	6	50417	38056	22.368	1	36132	0.49024	0.49680	0.05795	0.14569	29.8	abominable	2507	default	0
purple	none	none	3	22508	40018	23.521	2	9350	0.47108	0.57902	0.06591	0.15324	30.8	lousy	2464	-S 10000	0
purple	none	none	2.2	10158	42678	25.085	4	1027	0.42165	0.62814	0.07591	0.15056	21.1	awful	2895	default	0
purple	none	none	2.7	17819	40874	24.024	2	5591	0.46056	0.59436	0.06891	0.15198	23.1	dismal	2367	default	0
purple	none	none	3.5	29624	39230	23.058	1	15600	0.48146	0.55897	0.06332	0.15324	25.6	miserable	2463	default	0
purple	none	none	4.5	40299	38093	22.390	1	25878	0.49130	0.53072	0.05938	0.15253	27.8	abominable	2431	default	0
purple	none	none	5	44375	37987	22.328	1	29982	0.49213	0.52007	0.05869	0.15087	28.6	abominable	2391	default	0
purple	none	none	8	58070	37022	21.760	1	44295	0.49145	0.47488	0.05446	0.14275	31.5	lousy	2393	default	0
purple	none	none	10	62639	36529	21.471	1	49238	0.48960	0.44386	0.05138	0.12871	32.5	rotten	2433	default	0
