study	clustering	knn	inflation	n_modules	n_modules_scored	n_subsampled	H	H_null_mean	H_excess
purple	k100.I14	100	1.4	16232	3233	1	0.00895372285013603	0.00536436744548561	0.00358935540465042
purple	k100.I2	100	2	59199	18574	0	0.0289196230722114	0.00634527755284218	0.0225743455193692
purple	k150.I14	150	1.4	15741	2889	7	0.0087434276387664	0.00535244740977221	0.00339098022899419
purple	k150.I2	150	2	55863	16247	0	0.0265996748412314	0.00621469414540672	0.0203849806958247
purple	k200.I14	200	1.4	15370	2722	8	0.00877557532827745	0.00535176663499886	0.00342380869327859
purple	k200.I2	200	2	51694	14635	0	0.0240597699119073	0.00608109681816362	0.0179786730937437
purple	k250.I14	250	1.4	14901	2650	9	0.00879780566100324	0.0053505436765652	0.00344726198443803
purple	k250.I2	250	2	47939	13362	0	0.022323753882399	0.00599389945529203	0.016329854427107
purple	k300.I14	300	1.4	14721	2613	10	0.00883736751145218	0.00535072159743681	0.00348664591401536
purple	k300.I2	300	2	44745	12467	0	0.0204178944794327	0.00591978197252037	0.0144981125069124
purple	k350.I14	350	1.4	14344	2613	10	0.00884251201150879	0.00535273968575558	0.00348977232575321
purple	k350.I2	350	2	41762	11839	0	0.0193942778568914	0.00587500891971709	0.0135192689371743
purple	k400.I14	400	1.4	13618	2605	10	0.00883249003439714	0.00535047511097991	0.00348201492341723
purple	k400.I2	400	2	38765	11231	0	0.0185814971081431	0.00581076462279411	0.0127707324853489
purple	k450.I14	450	1.4	13600	2591	10	0.00906314540163355	0.00535482933833884	0.00370831606329471
purple	k450.I2	450	2	36676	10788	0	0.0177990705634099	0.00578827761084369	0.0120107929525662
purple	k50.I14	50	1.4	18276	4813	0	0.0104879930288772	0.00539545164125636	0.0050925413876208
purple	k50.I2	50	2	60507	22867	0	0.0318752380339053	0.00648669961707636	0.0253885384168289
purple	k500.I14	500	1.4	12205	2577	11	0.00901817674609879	0.00535374755860297	0.00366442918749582
purple	k500.I2	500	2	33488	10373	0	0.0172713632120019	0.00575036774862832	0.0115209954633736
purple	k550.I14	550	1.4	10000	2547	9	0.00901525140860282	0.00534959503148188	0.00366565637712095
purple	k550.I2	550	2	29771	10014	0	0.0168079730356694	0.00571115121458932	0.01109682182108
purple	k600.I14	600	1.4	9964	2516	8	0.00894403797862286	0.00534485277976759	0.00359918519885527
purple	k600.I2	600	2	28375	9745	1	0.0163004865817667	0.00569250518796967	0.010607981393797
purple	knone.I2	none	2	7722	6894	5	0.0171667645792079	0.00559523900003532	0.0115715255791726
