study	clustering	knn	inflation	n_modules	n_modules_scored	n_subsampled	H	H_null_mean	H_excess
sugarcane	k100.I14	100	1.4	17525	5707	0	0.0474364431454443	0.00438327210204389	0.0430531710434004
sugarcane	k100.I2	100	2	29706	13534	0	0.092713404472024	0.00405044448005131	0.0886629599919727
sugarcane	k150.I14	150	1.4	13288	5207	2	0.0448338931733301	0.00440157394286025	0.0404323192304698
sugarcane	k150.I2	150	2	25261	12661	0	0.08588189111952	0.00410080642272039	0.0817810846967996
sugarcane	k200.I14	200	1.4	11319	4915	3	0.0445787049470388	0.00440096225415688	0.040177742692882
sugarcane	k200.I2	200	2	23077	11973	0	0.0816189719033758	0.00411593195170473	0.077503039951671
sugarcane	k250.I14	250	1.4	8930	4754	3	0.0442829098565058	0.00441472847814717	0.0398681813783586
sugarcane	k250.I2	250	2	20306	11446	0	0.077787620311256	0.00414102851708877	0.0736465917941672
sugarcane	k300.I14	300	1.4	7647	4633	3	0.0449220950175153	0.00441165233111846	0.0405104426863968
sugarcane	k300.I2	300	2	18630	11087	0	0.0758730742292722	0.00415110599749126	0.071721968231781
sugarcane	k350.I14	350	1.4	7204	4543	3	0.045077954905766	0.00440432158148616	0.0406736333242799
sugarcane	k350.I2	350	2	17995	10764	0	0.0749109555864242	0.00415840059226124	0.070752554994163
sugarcane	k400.I14	400	1.4	6841	4434	4	0.0461022826614691	0.00439888193100593	0.0417034007304632
sugarcane	k400.I2	400	2	17428	10451	0	0.073987569849962	0.00418389898023618	0.0698036708697259
sugarcane	k450.I14	450	1.4	6656	4393	5	0.0464005440773747	0.00439562104936793	0.0420049230280068
sugarcane	k450.I2	450	2	17032	10253	0	0.0732364938575293	0.00417225060295392	0.0690642432545753
sugarcane	k50.I14	50	1.4	24396	6510	0	0.0560216289287235	0.00433941663120225	0.0516822122975213
sugarcane	k50.I2	50	2	36458	14647	0	0.108926599401075	0.00398864358921597	0.104937955811859
sugarcane	k500.I14	500	1.4	6468	4324	5	0.0468834885936362	0.0043970333436163	0.0424864552500199
sugarcane	k500.I2	500	2	16674	10020	0	0.0727493381550763	0.00418054003154409	0.0685687981235323
sugarcane	k550.I14	550	1.4	6337	4297	6	0.0472622384712683	0.00439683178660998	0.0428654066846583
sugarcane	k550.I2	550	2	16330	9927	0	0.0720782825272469	0.00418854509157425	0.0678897374356727
sugarcane	k600.I14	600	1.4	6223	4255	6	0.0474503098897546	0.00439719216184737	0.0430531177279072
sugarcane	k600.I2	600	2	15985	9719	0	0.0717881826465633	0.00420270644323697	0.0675854762033264
sugarcane	knone.I2	none	2	8795	7226	3	0.082173501019312	0.00424222327635919	0.0779312777429528
