study	k	mode	nodes	edges	mean_degree	median_degree	selected_model	ba_param	gic_ba	gic_er	gic_ws	pl_alpha	pl_xmin	pl_ks_stat	pl_ks_p	secs
purple	50	knn	156796	1360219	17.35	14	BA	0.252631578947368	0.0713757641451743	0.325908254630726	0.585955558820506	2.88471535416155	16	0.118123271743323	NA	1135.3
purple	100	knn	157244	2573885	32.74	26	BA	0.405263157894737	0.104783123488792	0.435888997632256	0.813569686758986	3.42815739640238	41	0.119487947164644	NA	1408.5
purple	150	knn	157384	3657112	46.47	37	BA	0.405263157894737	0.13064655340585	0.506726250359463	0.944743952692504	31.6811985171406	141	0.105151369335741	NA	1681
purple	200	knn	157590	4614459	58.56	47	BA	0.557894736842105	0.153329740132779	0.559958077981838	1.03733906484375	4.53829157276546	103	0.103372757287751	NA	1920.8
purple	250	knn	157986	5494322	69.55	55	BA	0.557894736842105	0.177976998446269	0.614545133588075	1.13808570346578	3.8309471463833	103	0.0925922173171225	NA	2119.1
purple	300	knn	158128	6332294	80.09	64	BA	0.557894736842105	0.178440025040241	0.65222240960598	1.15287643422429	3.72911707338311	117	0.087286176310571	NA	2369.2
purple	350	knn	158508	7139151	90.08	71	BA	0.557894736842105	0.244857522725732	0.74825471768163	1.26782011862565	3.70887580470582	136	0.0840738858574189	NA	2719.9
purple	400	knn	159222	7922149	99.51	78	BA	0.710526315789474	0.20684636609119	0.724375471768787	1.28059952821615	3.4836940876377	142	0.0813347447180467	NA	3166.9
purple	450	knn	159224	8684711	109.09	85	BA	0.710526315789474	0.238370570662838	0.780074690029186	1.34763827631187	3.20850489319457	138	0.0817188399146411	NA	3071.8
purple	500	knn	160603	9444315	117.61	91	BA	0.710526315789474	0.391767523672201	0.99436430465838	1.55157101191171	2.97582688885236	132	0.0818286667025152	NA	3063.6
purple	550	knn	162772	10462712	128.56	97	BA	0.710526315789474	0.219016645530941	0.809589116378707	1.37486487223377	2.86819189001448	138	0.0798596472769945	NA	3519.2
purple	600	knn	162776	11358388	139.56	106	BA	0.710526315789474	0.231885955375629	0.851872212580901	1.41748750998998	2.73058760711306	131	0.0724271477998171	NA	3700.8
