study	k	mode	nodes	edges	mean_degree	median_degree	selected_model	ba_param	gic_ba	gic_er	gic_ws	pl_alpha	pl_xmin	pl_ks_stat	pl_ks_p	secs
sugarcane	10	knn	66388	108689	3.27	2	BA	0.1	0.0714026606212992	0.113618229588197	0.113074972139391	3.57693621941689	5	0.129250372208148	NA	327.2
sugarcane	20	knn	76232	202265	5.31	3	BA	0.710526315789474	0.153838477463208	0.431704225747521	0.484161172825965	4.75671309504556	12	0.124441405988948	NA	399.6
sugarcane	30	knn	80596	288045	7.15	4	BA	0.863157894736842	0.239245263337467	0.674485951073551	0.768007250478199	4.88912325196824	18	0.125835860730983	NA	432.2
sugarcane	40	knn	83258	369521	8.88	5	BA	0.863157894736842	0.320919195341113	0.875355693478091	0.981242566372066	3.29282669335327	16	0.125539998024916	NA	475
sugarcane	50	knn	85050	448140	10.54	6	BA	0.863157894736842	0.3941551088689	1.03573858490078	1.14858478071067	3.67729218700281	23	0.128716278002058	NA	694
sugarcane	100	knn	90995	885430	19.46	8	BA	1.01578947368421	0.677496592094541	1.59566388758968	1.80224234106612	1.84853802760286	9	0.133976094130411	NA	813.9
sugarcane	150	knn	94677	1308681	27.65	11	BA	1.01578947368421	0.836996825335785	1.86873463921174	2.10324950015483	1.73350588484424	9	0.128564481296211	NA	958
sugarcane	200	knn	96335	1724999	35.81	13	BA	1.01578947368421	0.990155575434341	2.08908438874054	2.34675019708617	1.70975839733201	11	0.131248506049239	NA	938.6
sugarcane	250	knn	98552	2084066	42.29	15	BA	1.01578947368421	1.01430669465307	2.15490168237922	2.37644619750444	1.72409129514201	14	0.133613925749785	NA	1131.9
sugarcane	300	knn	99718	2406707	48.27	17	BA	1.01578947368421	0.993831723024347	2.15926673412314	2.37851087482666	2.69672163815458	87	0.124607920242998	NA	1216.6
sugarcane	350	knn	100075	2672024	53.4	18	BA	1.01578947368421	0.986273776983772	2.18615550879252	2.39894565497326	2.59258463736353	90	0.115150558981169	NA	1268.4
sugarcane	400	knn	100335	2991867	59.64	20	ERROR	NA	NA	NA	NA	2.71518823238128	115	0.106305864136538	NA	752.8
sugarcane	450	knn	100471	3242701	64.55	21	BA	1.01578947368421	1.20415493417882	2.47869105872909	2.65113138864509	2.82003157619435	142	0.108172923010635	NA	1391.6
sugarcane	500	knn	100595	3469918	68.99	22	BA	1.01578947368421	0.908817275624442	2.12727609114543	2.34310543107626	2.69873275683067	142	0.104385507331755	NA	1449.6
sugarcane	550	knn	100697	3686700	73.22	23	BA	1.16842105263158	2.04173839387545	3.50978537489656	3.55773410922878	2.6515818148197	149	0.099175937014184	NA	1501.8
sugarcane	600	knn	100771	3896333	77.33	24	BA	1.16842105263158	2.18141855737504	3.6986863149714	3.72351646228772	2.53766101925333	142	0.093928002667744	NA	1536.2
