study	knn	knn_mode	inflation	n_clusters	largest	largest_pct	median_size	singletons	efficiency	mass_fraction	area_fraction	modularity	jury_score	jury_word	runtime_s
purple	none	none	2	7722	43816	25.754	5	276	0.38585	0.65267	0.08166	0.15026	20.1	awful	2434
purple	50	knn	1.4	18276	1110	0.652	1	13339	0.23450	0.63636	0.00080	0.64621	91.9	cracking	103
purple	50	knn	2	60507	101	0.059	1	34070	0.25530	0.33725	0.00007	0.39805	96.8	sensational	35
purple	100	knn	1.4	16232	3633	2.135	1	12891	0.20121	0.61198	0.00297	0.65827	85.0	cracking	131
purple	100	knn	2	59199	346	0.203	1	37525	0.25059	0.30804	0.00015	0.41042	93.5	smashing baby!	61
purple	150	knn	1.4	15741	4655	2.736	1	12751	0.19503	0.60906	0.00533	0.66267	78.5	groovy	162
purple	150	knn	2	55863	569	0.334	1	36993	0.24858	0.30732	0.00026	0.41970	88.4	cracking	83
purple	200	knn	1.4	15370	6941	4.080	1	12545	0.19354	0.61076	0.00787	0.66271	74.9	solid	179
purple	200	knn	2	51694	824	0.484	1	34765	0.24919	0.31745	0.00041	0.43897	85.2	cracking	83
purple	250	knn	1.4	14901	7317	4.301	1	12149	0.19035	0.60997	0.00902	0.66157	71.0	adequate	178
purple	250	knn	2	47939	1028	0.604	1	32486	0.25023	0.32917	0.00058	0.45562	81.6	cracking	91
purple	300	knn	1.4	14721	7676	4.512	1	12007	0.19072	0.60954	0.01002	0.66027	68.1	fair	196
purple	300	knn	2	44745	1374	0.808	1	30384	0.25161	0.33860	0.00077	0.46785	78.9	groovy	104
purple	350	knn	1.4	14344	6800	3.997	1	11627	0.19158	0.60647	0.00955	0.66018	65.6	fairish	189
purple	350	knn	2	41762	1550	0.911	1	28168	0.25215	0.34844	0.00096	0.47818	76.2	all-right	100
purple	400	knn	1.4	13618	7020	4.126	1	10913	0.18938	0.60436	0.00987	0.65643	63.1	fairish	193
purple	400	knn	2	38765	1717	1.009	1	25867	0.25227	0.35984	0.00116	0.48721	73.6	decent	105
purple	450	knn	1.4	13600	8576	5.041	1	10911	0.18849	0.61088	0.01264	0.65840	61.2	satisfactory	201
purple	450	knn	2	36676	1865	1.096	1	24374	0.25259	0.36724	0.00138	0.49624	71.6	adequate	108
purple	500	knn	1.4	12205	7528	4.425	1	9532	0.18198	0.60795	0.01239	0.65657	59.6	acceptable	205
purple	500	knn	2	33488	2023	1.189	1	21720	0.25331	0.38099	0.00160	0.50313	69.6	fair	110
purple	550	knn	1.4	10000	12175	7.156	1	7363	0.17045	0.60925	0.01526	0.65798	58.1	acceptable	209
purple	550	knn	2	29771	2185	1.284	1	18462	0.25809	0.39833	0.00185	0.51958	68.0	fair	116
purple	600	knn	1.4	9964	11618	6.829	1	7359	0.16401	0.60908	0.01553	0.65839	56.9	acceptable	195
purple	600	knn	2	28375	2458	1.445	1	17387	0.25787	0.40264	0.00215	0.52770	66.4	fair	113
