study	knn	knn_mode	inflation	n_clusters	largest	largest_pct	median_size	singletons	efficiency	mass_fraction	area_fraction	modularity	jury_score	jury_word	runtime_s
sugarcane	none	none	2	8795	19840	19.453	3	105	0.32576	0.72001	0.04281	0.08059	39.2	deplorable	205
sugarcane	50	knn	1.4	24396	920	0.902	1	16940	0.38225	0.80058	0.00079	0.64518	95.5	fabulous	32
sugarcane	50	knn	2	36458	132	0.129	1	19191	0.26166	0.50435	0.00010	0.45082	97.6	superb	16
sugarcane	100	knn	1.4	17525	2184	2.141	1	10995	0.30416	0.76127	0.00255	0.66051	92.4	scrumptious	49
sugarcane	100	knn	2	29706	257	0.252	2	13694	0.26052	0.49345	0.00024	0.41432	96.2	sensational	22
sugarcane	150	knn	1.4	13288	2717	2.664	1	7313	0.25744	0.74814	0.00426	0.68522	87.5	cracking	65
sugarcane	150	knn	2	25261	457	0.448	2	10267	0.25806	0.50217	0.00044	0.43151	92.5	scrumptious	25
sugarcane	200	knn	1.4	11319	3302	3.238	2	5655	0.23457	0.74326	0.00572	0.71705	85.2	cracking	67
sugarcane	200	knn	2	23077	612	0.600	2	8805	0.25356	0.50147	0.00066	0.44052	90.9	cracking	30
sugarcane	250	knn	1.4	8930	3630	3.559	2	3438	0.20822	0.74021	0.00711	0.72620	84.0	cracking	74
sugarcane	250	knn	2	20306	755	0.740	2	6639	0.25127	0.52467	0.00095	0.49089	90.2	cracking	31
sugarcane	300	knn	1.4	7647	5275	5.172	2	2272	0.19402	0.74067	0.00930	0.73047	82.1	cracking	78
sugarcane	300	knn	2	18630	973	0.954	2	5382	0.24945	0.54082	0.00125	0.54445	88.4	cracking	33
sugarcane	350	knn	1.4	7204	5641	5.531	3	1915	0.18938	0.73886	0.00998	0.72784	80.5	favourable	76
sugarcane	350	knn	2	17995	1029	1.009	2	5128	0.24768	0.54259	0.00142	0.54550	86.9	cracking	35
sugarcane	400	knn	1.4	6841	6046	5.928	3	1655	0.18497	0.74244	0.01259	0.73210	78.9	groovy	83
sugarcane	400	knn	2	17428	1149	1.127	2	4900	0.24639	0.53854	0.00159	0.53519	85.2	cracking	34
sugarcane	450	knn	1.4	6656	6261	6.139	3	1519	0.18307	0.74275	0.01346	0.73087	77.2	good	79
sugarcane	450	knn	2	17032	1268	1.243	2	4744	0.24586	0.54546	0.00179	0.55994	83.8	cracking	35
sugarcane	500	knn	1.4	6468	6793	6.660	3	1395	0.18104	0.74348	0.01461	0.72644	75.9	solid	77
sugarcane	500	knn	2	16674	1405	1.378	2	4641	0.24461	0.54782	0.00197	0.56213	82.8	cracking	39
sugarcane	550	knn	1.4	6337	7294	7.152	3	1293	0.17980	0.74461	0.01575	0.72285	74.6	solid	81
sugarcane	550	knn	2	16330	1536	1.506	2	4446	0.24413	0.54962	0.00218	0.56277	81.9	cracking	39
sugarcane	600	knn	1.4	6223	7543	7.396	3	1219	0.17874	0.74481	0.01642	0.71992	72.8	decent	82
sugarcane	600	knn	2	15985	1713	1.680	2	4321	0.24443	0.55142	0.00225	0.56436	80.1	favourable	39
