study	k	inflation	n_clusters	largest	singletons	eff_ref	mod_ref	mass_frac_ref	area_frac_ref
purple	50	2	60507	101	34070	0.41327	0.00177	0.15123	0.00007
purple	50	1.4	18276	1110	13339	0.34256	0.01177	0.18713	0.00080
purple	100	2	59199	346	37525	0.38930	0.00360	0.15229	0.00015
purple	100	1.4	16232	3633	12891	0.31814	0.02912	0.23688	0.00297
purple	150	2	55863	569	36993	0.38796	0.00594	0.16410	0.00026
purple	150	1.4	15741	4655	12751	0.30653	0.04297	0.26346	0.00533
purple	200	2	51694	824	34765	0.38843	0.00908	0.17392	0.00041
purple	200	1.4	15370	6941	12545	0.30038	0.05515	0.28395	0.00787
purple	250	2	47939	1028	32486	0.38809	0.01185	0.18200	0.00058
purple	250	1.4	14901	7317	12149	0.29469	0.06116	0.29484	0.00902
purple	300	2	44745	1374	30384	0.38797	0.01441	0.18882	0.00077
purple	300	1.4	14721	7676	12007	0.29208	0.06602	0.30450	0.01002
purple	350	2	41762	1550	28168	0.38690	0.01694	0.19534	0.00096
purple	350	1.4	14344	6800	11627	0.29398	0.06685	0.30768	0.00955
purple	400	2	38765	1717	25867	0.38548	0.01924	0.20128	0.00116
purple	400	1.4	13618	7020	10913	0.29181	0.06835	0.31110	0.00987
purple	450	2	36676	1865	24374	0.38547	0.02190	0.20702	0.00138
purple	450	1.4	13600	8576	10911	0.29016	0.08177	0.32982	0.01264
purple	500	2	33488	2023	21720	0.38324	0.02403	0.21320	0.00160
purple	500	1.4	12205	7528	9532	0.28955	0.08183	0.33156	0.01239
purple	550	2	29771	2185	18462	0.38380	0.02698	0.23311	0.00185
purple	550	1.4	10000	12175	7363	0.28349	0.08623	0.35568	0.01526
purple	600	2	28375	2458	17387	0.38237	0.02966	0.24249	0.00215
purple	600	1.4	9964	11618	7359	0.27155	0.08561	0.36193	0.01553
purple	none	2	7722	43816	276	0.36299	0.15026	0.63365	0.08166
