study	k	inflation	n_clusters	largest	singletons	eff_ref	mod_ref	mass_frac_ref	area_frac_ref
sugarcane	50	2	36458	132	19191	0.44876	0.00482	0.33849	0.00010
sugarcane	50	1.4	24396	920	16940	0.28077	0.01367	0.33990	0.00079
sugarcane	100	2	29706	257	13694	0.34562	0.00835	0.31725	0.00024
sugarcane	100	1.4	17525	2184	10995	0.24833	0.02598	0.41353	0.00255
sugarcane	150	2	25261	457	10267	0.33363	0.01179	0.35848	0.00044
sugarcane	150	1.4	13288	2717	7313	0.22798	0.03200	0.46776	0.00426
sugarcane	200	2	23077	612	8805	0.32407	0.01491	0.38213	0.00066
sugarcane	200	1.4	11319	3302	5655	0.21591	0.03685	0.50334	0.00572
sugarcane	250	2	20306	755	6639	0.31479	0.01893	0.41610	0.00095
sugarcane	250	1.4	8930	3630	3438	0.20398	0.04285	0.53472	0.00711
sugarcane	300	2	18630	973	5382	0.30840	0.02265	0.44048	0.00125
sugarcane	300	1.4	7647	5275	2272	0.19683	0.04738	0.55596	0.00930
sugarcane	350	2	17995	1029	5128	0.30415	0.02343	0.44835	0.00142
sugarcane	350	1.4	7204	5641	1915	0.19486	0.04959	0.56365	0.00998
sugarcane	400	2	17428	1149	4900	0.30025	0.02422	0.45655	0.00159
sugarcane	400	1.4	6841	6046	1655	0.18919	0.05677	0.58550	0.01259
sugarcane	450	2	17032	1268	4744	0.29805	0.02592	0.46718	0.00179
sugarcane	450	1.4	6656	6261	1519	0.18811	0.05862	0.59186	0.01346
sugarcane	500	2	16674	1405	4641	0.29510	0.02660	0.47232	0.00197
sugarcane	500	1.4	6468	6793	1395	0.18581	0.05776	0.59647	0.01461
sugarcane	550	2	16330	1536	4446	0.29317	0.02727	0.47660	0.00218
sugarcane	550	1.4	6337	7294	1293	0.18585	0.05799	0.60238	0.01575
sugarcane	600	2	15985	1713	4321	0.29246	0.02807	0.47972	0.00225
sugarcane	600	1.4	6223	7543	1219	0.18536	0.05925	0.60590	0.01642
sugarcane	none	2	8795	19840	105	0.26767	0.08059	0.68715	0.04281
