panel	study	quantity	value
A	sugarcane	responsive	588
A	purple	responsive	182
A	sugarcane	individually testable	479
A	purple	individually testable	118
A	sugarcane	with >= 1 term	425
A	purple	with >= 1 term	109
B	sugarcane	negative: modules / genes / GO-annotated / terms	312 / 3,891 / 2,582 / 50
B	sugarcane	positive: modules / genes / GO-annotated / terms	276 / 6,232 / 4,168 / 76
B	purple	negative: modules / genes / GO-annotated / terms	117 / 1,334 / 884 / 36
B	purple	positive: modules / genes / GO-annotated / terms	65 / 872 / 562 / 17
C	sugarcane	terms enriched: rises with N	69
C	sugarcane	terms enriched: both	 7
C	sugarcane	terms enriched: falls with N	43
C	purple	terms enriched: rises with N	15
C	purple	terms enriched: both	 2
C	purple	terms enriched: falls with N	34
