Accession,Bioproject/GSA,Sample_Name,tissue,treatment,trait,genotype,soil_type,Organism
SRR31094553,PRJNA1176579,47_NR_10N_M _3,Leaf,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
SRR31094546,PRJNA1176579,14_R_10N_B _1,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
SRR31094541,PRJNA1176579,20_R_10N_P_2,Leaf Apex,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
SRR31094542,PRJNA1176579,19_R_10N_M_2,Leaf,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
SRR31094543,PRJNA1176579,18_R_10N_B_2,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
SRR31094544,PRJNA1176579,17_R_10N_B0_2,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
SRR31094545,PRJNA1176579,15_R_10N_M _1,Leaf,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
SRR31094549,PRJNA1176579,12_R_270N_P_3,Leaf Apex,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
SRR31094547,PRJNA1176579,13_R_10N_B0 _1,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
SRR31094548,PRJNA1176579,16_R_10N_P _1,Leaf Apex,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
SRR31094552,PRJNA1176579,48_NR_10N_P _3,Leaf Apex,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
SRR31094550,PRJNA1176579,6_R_270N_B_2,Leaf Base,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
SRR31094551,PRJNA1176579,11_R_270N_M_3,Leaf,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
SRR31094539,PRJNA1176579,3_R_270N_M_1,Leaf,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
