sample,fastq_1,fastq_2,strandedness,seq_platform,Accession,Bioproject.GSA,tissue,treatment,trait,genotype,soil_type,Organism
10_R_270N_B_3,raw_sugarcane/fastq/SRX26477646_SRR31094525_1.fastq.gz,raw_sugarcane/fastq/SRX26477646_SRR31094525_2.fastq.gz,auto,ILLUMINA,SRR31094525,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
9_R_270N_B0_3,raw_sugarcane/fastq/SRX26477645_SRR31094526_1.fastq.gz,raw_sugarcane/fastq/SRX26477645_SRR31094526_2.fastq.gz,auto,ILLUMINA,SRR31094526,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
8_R_270N_P_2,raw_sugarcane/fastq/SRX26477644_SRR31094527_1.fastq.gz,raw_sugarcane/fastq/SRX26477644_SRR31094527_2.fastq.gz,auto,ILLUMINA,SRR31094527,PRJNA1176579,Leaf Apex,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
7_R_270N_M_2,raw_sugarcane/fastq/SRX26477643_SRR31094528_1.fastq.gz,raw_sugarcane/fastq/SRX26477643_SRR31094528_2.fastq.gz,auto,ILLUMINA,SRR31094528,PRJNA1176579,Leaf,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
30_NR_270N_B_2,raw_sugarcane/fastq/SRX26477641_SRR31094529_1.fastq.gz,raw_sugarcane/fastq/SRX26477641_SRR31094529_2.fastq.gz,auto,ILLUMINA,SRR31094529,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
29_NR_270N_B0_2,raw_sugarcane/fastq/SRX26477640_SRR31094530_1.fastq.gz,raw_sugarcane/fastq/SRX26477640_SRR31094530_2.fastq.gz,auto,ILLUMINA,SRR31094530,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
28_NR_270N_P_1,raw_sugarcane/fastq/SRX26477639_SRR31094531_1.fastq.gz,raw_sugarcane/fastq/SRX26477639_SRR31094531_2.fastq.gz,auto,ILLUMINA,SRR31094531,PRJNA1176579,Leaf Apex,High Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
4_R_270N_P_1,raw_sugarcane/fastq/SRX26477642_SRR31094532_1.fastq.gz,raw_sugarcane/fastq/SRX26477642_SRR31094532_2.fastq.gz,auto,ILLUMINA,SRR31094532,PRJNA1176579,Leaf Apex,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
27_NR_270N_M_1,raw_sugarcane/fastq/SRX26477638_SRR31094533_1.fastq.gz,raw_sugarcane/fastq/SRX26477638_SRR31094533_2.fastq.gz,auto,ILLUMINA,SRR31094533,PRJNA1176579,Leaf,High Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
26_NR_270N_B_1,raw_sugarcane/fastq/SRX26477637_SRR31094534_1.fastq.gz,raw_sugarcane/fastq/SRX26477637_SRR31094534_2.fastq.gz,auto,ILLUMINA,SRR31094534,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
25_NR_270N_B0_1,raw_sugarcane/fastq/SRX26477636_SRR31094535_1.fastq.gz,raw_sugarcane/fastq/SRX26477636_SRR31094535_2.fastq.gz,auto,ILLUMINA,SRR31094535,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
24_R_10N_P_3,raw_sugarcane/fastq/SRX26477635_SRR31094536_1.fastq.gz,raw_sugarcane/fastq/SRX26477635_SRR31094536_2.fastq.gz,auto,ILLUMINA,SRR31094536,PRJNA1176579,Leaf Apex,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
22_R_10N_B_3,raw_sugarcane/fastq/SRX26477633_SRR31094537_1.fastq.gz,raw_sugarcane/fastq/SRX26477633_SRR31094537_2.fastq.gz,auto,ILLUMINA,SRR31094537,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
21_R_10N_B0_3,raw_sugarcane/fastq/SRX26477632_SRR31094538_1.fastq.gz,raw_sugarcane/fastq/SRX26477632_SRR31094538_2.fastq.gz,auto,ILLUMINA,SRR31094538,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
3_R_270N_M_1,raw_sugarcane/fastq/SRX26477631_SRR31094539_1.fastq.gz,raw_sugarcane/fastq/SRX26477631_SRR31094539_2.fastq.gz,auto,ILLUMINA,SRR31094539,PRJNA1176579,Leaf,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
23_R_10N_M_3,raw_sugarcane/fastq/SRX26477634_SRR31094540_1.fastq.gz,raw_sugarcane/fastq/SRX26477634_SRR31094540_2.fastq.gz,auto,ILLUMINA,SRR31094540,PRJNA1176579,Leaf,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
20_R_10N_P_2,raw_sugarcane/fastq/SRX26477630_SRR31094541_1.fastq.gz,raw_sugarcane/fastq/SRX26477630_SRR31094541_2.fastq.gz,auto,ILLUMINA,SRR31094541,PRJNA1176579,Leaf Apex,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
19_R_10N_M_2,raw_sugarcane/fastq/SRX26477629_SRR31094542_1.fastq.gz,raw_sugarcane/fastq/SRX26477629_SRR31094542_2.fastq.gz,auto,ILLUMINA,SRR31094542,PRJNA1176579,Leaf,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
18_R_10N_B_2,raw_sugarcane/fastq/SRX26477628_SRR31094543_1.fastq.gz,raw_sugarcane/fastq/SRX26477628_SRR31094543_2.fastq.gz,auto,ILLUMINA,SRR31094543,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
17_R_10N_B0_2,raw_sugarcane/fastq/SRX26477627_SRR31094544_1.fastq.gz,raw_sugarcane/fastq/SRX26477627_SRR31094544_2.fastq.gz,auto,ILLUMINA,SRR31094544,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
15_R_10N_M_1,raw_sugarcane/fastq/SRX26477625_SRR31094545_1.fastq.gz,raw_sugarcane/fastq/SRX26477625_SRR31094545_2.fastq.gz,auto,ILLUMINA,SRR31094545,PRJNA1176579,Leaf,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
14_R_10N_B_1,raw_sugarcane/fastq/SRX26477624_SRR31094546_1.fastq.gz,raw_sugarcane/fastq/SRX26477624_SRR31094546_2.fastq.gz,auto,ILLUMINA,SRR31094546,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
13_R_10N_B0_1,raw_sugarcane/fastq/SRX26477623_SRR31094547_1.fastq.gz,raw_sugarcane/fastq/SRX26477623_SRR31094547_2.fastq.gz,auto,ILLUMINA,SRR31094547,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
16_R_10N_P_1,raw_sugarcane/fastq/SRX26477626_SRR31094548_1.fastq.gz,raw_sugarcane/fastq/SRX26477626_SRR31094548_2.fastq.gz,auto,ILLUMINA,SRR31094548,PRJNA1176579,Leaf Apex,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
12_R_270N_P_3,raw_sugarcane/fastq/SRX26477622_SRR31094549_1.fastq.gz,raw_sugarcane/fastq/SRX26477622_SRR31094549_2.fastq.gz,auto,ILLUMINA,SRR31094549,PRJNA1176579,Leaf Apex,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
6_R_270N_B_2,raw_sugarcane/fastq/SRX26477621_SRR31094550_1.fastq.gz,raw_sugarcane/fastq/SRX26477621_SRR31094550_2.fastq.gz,auto,ILLUMINA,SRR31094550,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
11_R_270N_M_3,raw_sugarcane/fastq/SRX26477601_SRR31094551_1.fastq.gz,raw_sugarcane/fastq/SRX26477601_SRR31094551_2.fastq.gz,auto,ILLUMINA,SRR31094551,PRJNA1176579,Leaf,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
48_NR_10N_P_3,raw_sugarcane/fastq/SRX26477620_SRR31094552_1.fastq.gz,raw_sugarcane/fastq/SRX26477620_SRR31094552_2.fastq.gz,auto,ILLUMINA,SRR31094552,PRJNA1176579,Leaf Apex,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
47_NR_10N_M_3,raw_sugarcane/fastq/SRX26477619_SRR31094553_1.fastq.gz,raw_sugarcane/fastq/SRX26477619_SRR31094553_2.fastq.gz,auto,ILLUMINA,SRR31094553,PRJNA1176579,Leaf,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
