species	gene	family	type	is_MYB	degree	strength	transitivity	treatment_r	treatment_padj	N_correlated	on_conserved_edge	conservation_status
purple	Soffic.01A0020940-1A	GNAT	OTR	FALSE	3816	810.508574	0.560671354110856			FALSE	FALSE	
purple	Soffic.01A0022470-1A	ARF	TFF	FALSE	121	64.493732	0.638842975206612			FALSE	FALSE	
purple	Soffic.01A0030710-1A	MYB-related	TFF	TRUE	1026	361.982881	0.412850282888794	-0.2593	0.8265	FALSE	TRUE	
purple	Soffic.01A0031930-1A	ABI3VP1	TFF	FALSE	1752	249.473187	0.731944433578725			FALSE	FALSE	
purple	Soffic.01A0039320-1A	bZIP	TFF	FALSE	34502	15791.91076	0.757303142709618	0.093	1	FALSE	TRUE	
purple	Soffic.01A0045380-1A	ABI3VP1	TFF	FALSE	164	27.961916	0.406553942840042			FALSE	FALSE	
purple	Soffic.01B0000290-1B	PHD	OTR	FALSE	37329	17972.933037	0.685554341829318	-0.1436	1	FALSE	TRUE	
purple	Soffic.01B0000700-1B	AP2-EREBP	TFF	FALSE	214	41.573597	0.321618182615945	0.3039	0.7835	FALSE	TRUE	
purple	Soffic.01B0003480-1B	mTERF	OTR	FALSE	229	68.364947	0.291465563471999	0.3241	0.7445	FALSE	TRUE	
purple	Soffic.01B0003640-1B	mTERF	OTR	FALSE	1557	218.618059	0.745387362487679			FALSE	FALSE	
purple	Soffic.01B0005930-1B	GNAT	OTR	FALSE	638	372.651771	0.301412872841444	-0.292	0.81	FALSE	TRUE	
purple	Soffic.01B0006980-1B	SWI/SNF-BAF60b	OTR	FALSE	2	0.253757	0			FALSE	FALSE	
purple	Soffic.01B0007650-1B	C2C2-Dof	TFF	FALSE	80	19.361881	0.432594936708861			FALSE	FALSE	
purple	Soffic.01B0008390-1B	MADS	TFF	FALSE	12	1.745898	0.242424242424242			FALSE	FALSE	
purple	Soffic.01B0010670-1B	C2H2	TFF	FALSE	119	28.431591	0.347956131605184			FALSE	FALSE	
purple	Soffic.01B0010730-1B	MYB-related	TFF	TRUE	68	8.464797	0.409569798068481			FALSE	FALSE	
purple	Soffic.01B0011830-1B	GNAT	OTR	FALSE	348	36.056398	0.629517373877903	-0.0257	1	FALSE	TRUE	
purple	Soffic.01B0015000-1B	CPP	TFF	FALSE	232	33.50079	0.517166741304672			FALSE	FALSE	
purple	Soffic.01B0015860-1B	GRAS	TFF	FALSE	11	1.426863	0.127272727272727			FALSE	FALSE	
purple	Soffic.01B0017870-1B	SWI/SNF-BAF60b	OTR	FALSE	15653	5209.405808	0.476352546438673	-0.3321	0.7442	FALSE	TRUE	
purple	Soffic.01B0018120-1B	C2C2-YABBY	TFF	FALSE	585	180.765023	0.344977168949772			FALSE	FALSE	
purple	Soffic.01B0020850-1B	SAP	TFF	FALSE	5530	1423.005058	0.641112764947734			FALSE	FALSE	
purple	Soffic.01B0020890-1B	SAP	TFF	FALSE	7954	2178.618824	0.656643833565699			FALSE	FALSE	
purple	Soffic.01B0020990-1B	C2C2-GATA	TFF	FALSE	31249	12312.513262	0.818482545768142			FALSE	FALSE	
purple	Soffic.01B0022250-1B	TRAF	OTR	FALSE	37037	19493.086683	0.728921181129843			FALSE	FALSE	
purple	Soffic.01B0022830-1B	TRAF	OTR	FALSE	12	1.418539	0.151515151515152			FALSE	FALSE	
purple	Soffic.01B0024060-1B	Tify	TFF	FALSE	63	10.495333	0.375320020481311			FALSE	FALSE	
purple	Soffic.01B0024070-1B	Tify	TFF	FALSE	243	44.365588	0.366629255518144	-0.2701	0.8265	FALSE	TRUE	
purple	Soffic.01B0027660-1B	bHLH	TFF	FALSE	32	3.970965	0.316532258064516			FALSE	FALSE	
purple	Soffic.01B0027700-1B	PLATZ	TFF	FALSE	30	5.724447	0.211494252873563			FALSE	FALSE	
purple	Soffic.01B0028290-1B	zf-LSD1	TFF	FALSE	53	21.864772	0.51088534107402			FALSE	FALSE	
purple	Soffic.01B0028680-1B	MYB-related	TFF	TRUE	432	164.944652	0.512965111282977			FALSE	FALSE	
purple	Soffic.01B0030560-1B	AP2-EREBP	TFF	FALSE	330	59.16096	0.31406465874551			FALSE	FALSE	
purple	Soffic.01B0036230-1B	C3H	TFF	FALSE	59	30.721856	0.562828755113968			FALSE	FALSE	
purple	Soffic.01B0036960-1B	bZIP	TFF	FALSE	5	0.265433	0.2			FALSE	FALSE	
purple	Soffic.01B0037420-1B	PAS	TFF	FALSE	36926	18263.237614	0.717688929066756	0.1013	1	FALSE	TRUE	
purple	Soffic.01B0037590-1B	bZIP	TFF	FALSE	11843	4755.124467	0.543949099975938			FALSE	FALSE	
purple	Soffic.01B0039190-1B	C2H2	TFF	FALSE	10209	1978.036988	0.684306171086978			FALSE	FALSE	
purple	Soffic.01B0039260-1B	CCAAT	TFF	FALSE	1653	276.202691	0.551797377722506	-0.1232	1	FALSE	TRUE	
purple	Soffic.01B0046230-1B	GeBP	TFF	FALSE	7687	1857.547194	0.675937466328738			FALSE	FALSE	
purple	Soffic.01B0046400-1B	Pseudo_ARR-B	OTR	FALSE	4085	1177.205578	0.386501701718022	0.3428	0.726	FALSE	TRUE	
purple	Soffic.01B0046890-1B	ABI3VP1	TFF	FALSE	585	180.765023	0.344977168949772			FALSE	FALSE	
purple	Soffic.01B0047190-1B	Tify	TFF	FALSE	2114	324.501456	0.617910211194296			FALSE	FALSE	
purple	Soffic.01B0047660-1B	bHLH	TFF	FALSE	518	180.920105	0.424127913489616	0.0209	1	FALSE	TRUE	
purple	Soffic.01B0047690-1B	bHLH	TFF	FALSE	585	180.765023	0.344977168949772			FALSE	FALSE	
