transcript	module	family	class	munoz_degree	munoz_betweenness
SCA2_2__c55824f2p11649	M20	MYB_related	TFF	14	6548
N_R___TRINITY_DN331_c0_g1_i3	M20	no_tf	no_tf	2	0
SCA3__SP803280_c111248_g1_i4	M20	MYB_related	TFF	8	4492
SCA2_2__c87109f1p01887	M20	MYB_related	TFF	12	0
N_R___TRINITY_DN8473_c0_g3_i3	M20	no_tf	no_tf	13	762
N_NR___TRINITY_DN30_c0_g1_i9	M20	MYB_related	TFF	12	8552
SCA2_2__c76820f1p01331	M20	MYB	TFF	11	5067
SCA2_2__c76396f1p01512	M20	MYB_related	TFF	12	18551
SCA2_2__c65732f1p01355	M20	MYB_related	TFF	9	0
SCA2_2__c87778f1p01484	M20	MYB_related	TFF	7	2401
SCA3__SP803280_c111248_g1_i2	M20	MYB_related	TFF	6	26805
N_R___TRINITY_DN20_c0_g1_i6	M20	no_tf	no_tf	8	194
