transcript	gene	protein	orf	pident	evalue	bitscore	qcov	scov	at_anchor	at_best_hit	verdict
N_NR___TRINITY_DN30_c0_g1_i9	SoffiXsponR570.06Ag012100	SoffiXsponR570.06Ag012100.3.p	N_NR___TRINITY_DN30_c0_g1_i9.p1	100	4.55e-78	227	99.1	100	AT3G46130	AT3G46130	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.04Dg020500	SoffiXsponR570.04Dg020500.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	99.7	0.0	1513	93.8	93.9	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.04Dg020500	SoffiXsponR570.04Dg020500.2.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	99.7	0.0	1513	93.8	93.9	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.04Cg017200	SoffiXsponR570.04Cg017200.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	99.7	0.0	1512	93.8	93.7	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.04Bg017700	SoffiXsponR570.04Bg017700.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	99.5	0.0	1506	93.8	94.0	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.04Gg017300	SoffiXsponR570.04Gg017300.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	99.9	0.0	1504	93.0	93.1	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.04Ag025900	SoffiXsponR570.04Ag025900.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	98.1	0.0	1481	93.8	94.9	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.04Bg019100	SoffiXsponR570.04Bg019100.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	82.3	0.0	1261	90.9	92.9	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.04Cg018800	SoffiXsponR570.04Cg018800.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	80.8	0.0	1219	90.5	92.3	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	SoffiXsponR570.04Ag027700	SoffiXsponR570.04Ag027700.1.p	N_R___TRINITY_DN8473_c0_g3_i3.p1	80.0	0.0	1205	90.6	92.2	AT4G10770	AT4G10770	reciprocal
