transcript	gene	protein	orf	pident	evalue	bitscore	qcov	scov	at_anchor	at_best_hit	verdict
N_R___TRINITY_DN8473_c0_g3_i3	Soffic.10G0002440-10H	Soffic.10G0002440-10H	N_R___TRINITY_DN8473_c0_g3_i3.p1	99.9	0.0	1514	93.8	94.8	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	Soffic.10G0001590-10A	Soffic.10G0001590-10A	N_R___TRINITY_DN8473_c0_g3_i3.p1	96.5	0.0	1500	93.8	95.2	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	Soffic.10G0001580-10B	Soffic.10G0001580-10B	N_R___TRINITY_DN8473_c0_g3_i3.p1	83.9	0.0	1226	93.8	94.3	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	Soffic.10G0002620-10H	Soffic.10G0002620-10H	N_R___TRINITY_DN8473_c0_g3_i3.p1	77.4	0.0	1216	90.0	71.3	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	Soffic.10G0001830-10B	Soffic.10G0001830-10B	N_R___TRINITY_DN8473_c0_g3_i3.p1	76.8	0.0	1036	77.1	91.9	AT4G10770	AT4G10770	reciprocal
N_R___TRINITY_DN8473_c0_g3_i3	Soffic.06B0019110-6B	Soffic.06B0019110-6B	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.6	0.0	904	90.1	96.6	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	Soffic.06C0017460-6C	Soffic.06C0017460-6C	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.6	0.0	904	90.1	96.6	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	Soffic.06D0017000-6D	Soffic.06D0017000-6D	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.6	0.0	904	90.1	96.6	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	Soffic.06G0019020-6A	Soffic.06G0019020-6A	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.6	0.0	904	90.1	96.6	AT4G10770	AT5G64410	rejected
N_R___TRINITY_DN8473_c0_g3_i3	Soffic.06G0017670-6H	Soffic.06G0017670-6H	N_R___TRINITY_DN8473_c0_g3_i3.p1	58.4	0.0	902	90.1	96.6	AT4G10770	AT5G64410	rejected
