species	gene	family	type	is_MYB	degree	strength	transitivity	treatment_r	treatment_padj	N_correlated	on_conserved_edge	conservation_status
sugarcane	SoffiXsponR570.01Ag001600	AP2-EREBP	TFF	FALSE	6	2.346558	0.733333333333333			FALSE	FALSE	
sugarcane	SoffiXsponR570.01Ag002000	Sigma70-like	TFF	FALSE	360	57.273452	0.400108325595791	0.0572	0.8872	FALSE	TRUE	
sugarcane	SoffiXsponR570.01Ag005800	WRKY	TFF	FALSE	3	0.246918	0.333333333333333			FALSE	FALSE	
sugarcane	SoffiXsponR570.01Ag006800	HSF	TFF	FALSE	130	13.098284	0.57757901013715	-0.4022	0.03255	FALSE	TRUE	
sugarcane	SoffiXsponR570.01Ag016300	FAR1	TFF	FALSE	59	6.302681	0.402688486265342	-0.1363	0.6309	FALSE	TRUE	
sugarcane	SoffiXsponR570.01Ag019400	mTERF	OTR	FALSE	141	23.533702	0.614690982776089			FALSE	FALSE	
sugarcane	SoffiXsponR570.01Ag019900	mTERF	OTR	FALSE	64	7.681431	0.664186507936508			FALSE	FALSE	
sugarcane	SoffiXsponR570.01Ag028300	GRAS	TFF	FALSE	2141	192.222391	0.988122416374565			FALSE	FALSE	
sugarcane	SoffiXsponR570.01Ag034100	mTERF	OTR	FALSE	14628	6081.659835	0.577764488299598			FALSE	FALSE	
sugarcane	SoffiXsponR570.01Ag034300	mTERF	OTR	FALSE	12766	4738.124667	0.664274369118078			FALSE	FALSE	
sugarcane	SoffiXsponR570.01Ag036000	C2H2	TFF	FALSE	16	2.770945	0.0333333333333333			FALSE	FALSE	
sugarcane	SoffiXsponR570.01Ag037300	AP2-EREBP	TFF	FALSE	130	15.717649	0.529755515802028	-0.2534	0.2702	FALSE	TRUE	
sugarcane	SoffiXsponR570.01Ag040300	TFIIS	TFF	FALSE	72	8.778174	0.458528951486698	-0.5084	0.003133	FALSE	TRUE	
sugarcane	SoffiXsponR570.01Ag040800	NAC	TFF	FALSE	18	2.99994	0.437908496732026	0.419	0.02355	FALSE	TRUE	
sugarcane	SoffiXsponR570.01Ag051500	bHLH	TFF	FALSE	538	61.293952	0.608315507466096	-0.0431	0.9189	FALSE	TRUE	
sugarcane	SoffiXsponR570.01Ag053400	FHA	TFF	FALSE	65	8.288699	0.31875	-0.7996	2.237e-09	TRUE	TRUE	ortholog_not_correlated
sugarcane	SoffiXsponR570.01Ag055500	WRKY	TFF	FALSE	12	2.732431	0.409090909090909			FALSE	FALSE	
sugarcane	SoffiXsponR570.01Ag056000	AUX/IAA	OTR	FALSE	6	0.923712	0.6			FALSE	FALSE	
sugarcane	SoffiXsponR570.01Ag058100	bZIP	TFF	FALSE	1	0.063982				FALSE	FALSE	
sugarcane	SoffiXsponR570.01Ag058700	HSF	TFF	FALSE	10	1.369815	0.288888888888889	0.0619	0.8745	FALSE	TRUE	
