gene	Family	Type
SoffiXsponR570.01Ag001600	AP2-EREBP	TFF
SoffiXsponR570.01Ag002000	Sigma70-like	TFF
SoffiXsponR570.01Ag005800	WRKY	TFF
SoffiXsponR570.01Ag006800	HSF	TFF
SoffiXsponR570.01Ag016300	FAR1	TFF
SoffiXsponR570.01Ag019400	mTERF	OTR
SoffiXsponR570.01Ag019900	mTERF	OTR
SoffiXsponR570.01Ag028300	GRAS	TFF
SoffiXsponR570.01Ag034100	mTERF	OTR
SoffiXsponR570.01Ag034300	mTERF	OTR
SoffiXsponR570.01Ag036000	C2H2	TFF
SoffiXsponR570.01Ag037300	AP2-EREBP	TFF
SoffiXsponR570.01Ag040300	TFIIS	TFF
SoffiXsponR570.01Ag040800	NAC	TFF
SoffiXsponR570.01Ag051500	bHLH	TFF
SoffiXsponR570.01Ag053400	FHA	TFF
SoffiXsponR570.01Ag055500	WRKY	TFF
SoffiXsponR570.01Ag056000	AUX/IAA	OTR
SoffiXsponR570.01Ag058100	bZIP	TFF
SoffiXsponR570.01Ag058700	HSF	TFF
SoffiXsponR570.01Ag061100	GNAT	OTR
SoffiXsponR570.01Ag062900	TRAF	OTR
SoffiXsponR570.01Ag064000	C2C2-GATA	TFF
SoffiXsponR570.01Ag067900	mTERF	OTR
SoffiXsponR570.01Ag070100	bHLH	TFF
SoffiXsponR570.01Ag077200	HB	TFF
SoffiXsponR570.01Ag077300	MYB	TFF
SoffiXsponR570.01Ag077900	bZIP	TFF
SoffiXsponR570.01Ag078500	TRAF	OTR
SoffiXsponR570.01Ag080800	C2C2-Dof	TFF
SoffiXsponR570.01Ag081200	MYB-related	TFF
SoffiXsponR570.01Ag081300	SWI/SNF-BAF60b	OTR
SoffiXsponR570.01Ag081500	C2H2	TFF
SoffiXsponR570.01Ag083800	SWI/SNF-BAF60b	OTR
SoffiXsponR570.01Ag085500	WRKY	TFF
SoffiXsponR570.01Ag086600	WRKY	TFF
SoffiXsponR570.01Ag090000	MADS	TFF
SoffiXsponR570.01Ag090100	MADS	TFF
SoffiXsponR570.01Ag090800	PAS	TFF
SoffiXsponR570.01Ag091800	MYB-related	TFF
SoffiXsponR570.01Ag098700	AUX/IAA	OTR
SoffiXsponR570.01Ag099800	WRKY	TFF
SoffiXsponR570.01Ag099900	bHLH	TFF
SoffiXsponR570.01Ag104500	C2C2-GATA	TFF
SoffiXsponR570.01Ag106100	HB	TFF
SoffiXsponR570.01Ag107600	FHA	TFF
SoffiXsponR570.01Ag108400	BSD	TFF
SoffiXsponR570.01Ag108800	GRF	TFF
SoffiXsponR570.01Ag110500	HB	TFF
SoffiXsponR570.01Ag112200	Top	TFF
SoffiXsponR570.01Ag112400	bHLH	TFF
SoffiXsponR570.01Ag114600	MYB-related	TFF
SoffiXsponR570.01Ag115600	MYB	TFF
SoffiXsponR570.01Ag116100	PAS	TFF
SoffiXsponR570.01Ag117200	zf-HD	TFF
SoffiXsponR570.01Ag118700	PHD	OTR
SoffiXsponR570.01Ag122800	C2C2-CO-like	TFF
SoffiXsponR570.01Ag124700	GeBP	TFF
SoffiXsponR570.01Ag125800	GRAS	TFF
SoffiXsponR570.01Ag130900	GNAT	OTR
SoffiXsponR570.01Ag131900	C3H	TFF
SoffiXsponR570.01Ag132900	CCAAT	TFF
SoffiXsponR570.01Ag136800	C3H	TFF
SoffiXsponR570.01Ag139900	C2C2-GATA	TFF
SoffiXsponR570.01Ag141600	HB	TFF
SoffiXsponR570.01Ag141900	C2C2-GATA	TFF
SoffiXsponR570.01Ag144700	HB	TFF
SoffiXsponR570.01Ag145200	bHLH	TFF
SoffiXsponR570.01Ag145500	bHLH	TFF
SoffiXsponR570.01Ag147900	MYB-related	TFF
SoffiXsponR570.01Ag154200	WRKY	TFF
SoffiXsponR570.01Ag161400	CCAAT	TFF
SoffiXsponR570.01Ag166600	bHLH	TFF
SoffiXsponR570.01Ag170100	AUX/IAA	OTR
SoffiXsponR570.01Ag170200	AUX/IAA	OTR
SoffiXsponR570.01Ag170800	WRKY	TFF
SoffiXsponR570.01Ag172000	LIM	TFF
SoffiXsponR570.01Ag173100	NAC	TFF
SoffiXsponR570.01Ag173500	MYB-related	TFF
SoffiXsponR570.01Ag173700	ABI3VP1	TFF
SoffiXsponR570.01Ag174000	ABI3VP1	TFF
SoffiXsponR570.01Ag174200	ABI3VP1	TFF
SoffiXsponR570.01Ag174800	ABI3VP1	TFF
SoffiXsponR570.01Ag174900	ABI3VP1	TFF
SoffiXsponR570.01Ag175000	C2C2-Dof	TFF
SoffiXsponR570.01Ag175400	bHLH	TFF
SoffiXsponR570.01Ag175800	ABI3VP1	TFF
SoffiXsponR570.01Ag175900	ABI3VP1	TFF
SoffiXsponR570.01Ag177400	C2H2	TFF
SoffiXsponR570.01Ag178200	AP2-EREBP	TFF
SoffiXsponR570.01Ag182100	GRAS	TFF
SoffiXsponR570.01Ag183300	FAR1	TFF
SoffiXsponR570.01Ag184200	FHA	TFF
SoffiXsponR570.01Ag184600	mTERF	OTR
SoffiXsponR570.01Ag187100	C2C2-Dof	TFF
SoffiXsponR570.01Ag202400	SWI/SNF-BAF60b	OTR
SoffiXsponR570.01Ag206500	SET	OTR
SoffiXsponR570.01Ag211100	MYB	TFF
SoffiXsponR570.01Ag211700	GeBP	TFF
SoffiXsponR570.01Ag216900	FHA	TFF
SoffiXsponR570.01Ag220500	ARF	TFF
SoffiXsponR570.01Ag222000	ARF	TFF
SoffiXsponR570.01Ag224200	bHLH	TFF
SoffiXsponR570.01Ag231600	SAP	TFF
SoffiXsponR570.01Ag243800	TRAF	OTR
SoffiXsponR570.01Ag244900	HSF	TFF
SoffiXsponR570.01Ag247900	TRAF	OTR
SoffiXsponR570.01Ag253100	C2C2-Dof	TFF
SoffiXsponR570.01Ag258000	Tify	TFF
SoffiXsponR570.01Ag258400	Tify	TFF
SoffiXsponR570.01Ag258500	Tify	TFF
SoffiXsponR570.01Ag258600	Tify	TFF
SoffiXsponR570.01Ag262700	bHLH	TFF
SoffiXsponR570.01Ag263500	TIG	TFF
SoffiXsponR570.01Ag263900	AP2-EREBP	TFF
SoffiXsponR570.01Ag264900	GRAS	TFF
SoffiXsponR570.01Ag287000	zf-C5HC2	TFF
SoffiXsponR570.01Ag288300	MYB-related	TFF
SoffiXsponR570.01Ag289800	bHLH	TFF
SoffiXsponR570.01Ag290300	PLATZ	TFF
SoffiXsponR570.01Ag291900	MED26	OTR
SoffiXsponR570.01Ag295400	zf-LSD1	TFF
SoffiXsponR570.01Ag296200	SOH1	OTR
SoffiXsponR570.01Ag297000	MYB-related	TFF
SoffiXsponR570.01Ag297400	zf-LSD1	TFF
SoffiXsponR570.01Ag299000	MYB-related	TFF
SoffiXsponR570.01Ag299700	AP2-EREBP	TFF
SoffiXsponR570.01Ag300900	MYB-related	TFF
SoffiXsponR570.01Ag301300	AP2-EREBP	TFF
SoffiXsponR570.01Ag302500	C2C2-GATA	TFF
SoffiXsponR570.01Ag302600	Not1	TFF
SoffiXsponR570.01Ag302700	bHLH	TFF
SoffiXsponR570.01Ag302900	bHLH	TFF
SoffiXsponR570.01Ag315900	ABI3VP1	TFF
SoffiXsponR570.01Ag317100	HB	TFF
SoffiXsponR570.01Ag318800	bZIP	TFF
SoffiXsponR570.01Ag332400	C2H2	TFF
SoffiXsponR570.01Ag332500	C2H2	TFF
SoffiXsponR570.01Ag335000	WRKY	TFF
SoffiXsponR570.01Ag336200	C2H2	TFF
SoffiXsponR570.01Ag340700	CCAAT	TFF
SoffiXsponR570.01Ag341900	CCAAT	TFF
SoffiXsponR570.01Ag345400	Tify	TFF
SoffiXsponR570.01Ag347900	Top	TFF
SoffiXsponR570.01Ag352000	bHLH	TFF
SoffiXsponR570.01Ag353900	TIG	TFF
SoffiXsponR570.01Ag357100	SAP	TFF
SoffiXsponR570.01Ag358400	MYB	TFF
SoffiXsponR570.01Ag360900	MYB	TFF
SoffiXsponR570.01Ag363200	HSF	TFF
SoffiXsponR570.01Ag363800	MED26	OTR
SoffiXsponR570.01Ag365600	MYB-related	TFF
SoffiXsponR570.01Ag366000	mTERF	OTR
SoffiXsponR570.01Ag372100	Top	TFF
SoffiXsponR570.01Ag373900	TUB	TFF
SoffiXsponR570.01Ag376000	Jumonji	OTR
