Gene	Family
Soffic.08G0011710-8F	C2C2-Dof	TFF
Soffic.03D0004100-3D	Orphans	Orphans
Soffic.04G0006800-4G	GRAS	TFF
Soffic.04G0012310-4B	CPP	TFF
Soffic.02G0030340-2D	Orphans	Orphans
Soffic.02G0031850-2D	WRKY	TFF
Soffic.03G0032160-3C	bZIP	TFF
Soffic.04C0027140-4C	MADS	TFF
Soffic.01G0036790-1D	AP2-EREBP	TFF
Soffic.09G0014080-9A	SWI/SNF-BAF60b	OTR
Soffic.04G0031000-4A	bHLH	TFF
Soffic.04G0023690-4H	PHD	OTR
Soffic.09G0007780-9D	NAC	TFF
Soffic.07G0017230-7A	bHLH	TFF
Soffic.03H0030120-3H	WRKY	TFF
Soffic.02G0017280-2D	Jumonji	OTR
Soffic.10G0016210-10A	ARID	OTR
Soffic.04G0028440-4E	mTERF	OTR
Soffic.09D0015230-9D	Orphans	Orphans
Soffic.03G0032150-3E	C2H2	TFF
Soffic.08G0012490-8A	Orphans	Orphans
Soffic.09G0013820-9G	MYB-related	TFF
Soffic.06G0019800-6H	bZIP	TFF
Soffic.06G0013940-6F	ARF	TFF
Soffic.10G0010390-10B	TUB	TFF
Soffic.03C0026080-3C	NAC	TFF
Soffic.09G0016800-9G	C2C2-GATA	TFF
Soffic.01F0018480-1F	TRAF	OTR
Soffic.01G0005160-1G	DDT	OTR
Soffic.01G0021550-1G	zf-BED	TFF
Soffic.01H0018060-1H	FHA	TFF
Soffic.03G0025050-3B	HB	TFF
Soffic.10E0006510-10E	AP2-EREBP	TFF
Soffic.08G0015580-8C	NAC	TFF
Soffic.03G0032020-3C	C2C2-Dof	TFF
Soffic.03G0025900-3F	SWI/SNF-BAF60b	OTR
Soffic.09G0019040-9C	TRAF	OTR
Soffic.10G0021810-10A	C3H	TFF
Soffic.07G0000150-7D	bHLH	TFF
Soffic.01F0011330-1F	zf-BED	TFF
Soffic.04G0030590-4G	GRF	TFF
Soffic.02G0024550-2D	Top	TFF
Soffic.04H0003230-4H	HB	TFF
Soffic.04G0021540-4G	FAR1	TFF
Soffic.02G0013860-2A	Orphans	Orphans
Soffic.06B0007930-6B	MADS	TFF
Soffic.03G0029310-3F	Orphans	Orphans
Soffic.08G0003960-8H	OFP	TFF
Soffic.01G0005490-1D	ABI3VP1	TFF
Soffic.09D0000930-9D	GRAS	TFF
Soffic.04D0008810-4D	AUX/IAA	OTR
Soffic.01E0017330-1E	MYB	TFF
Soffic.04G0024960-4D	MADS	TFF
Soffic.08G0015100-8A	ABI3VP1	TFF
Soffic.10G0006260-10A	MYB	TFF
Soffic.06G0010190-6H	TAZ	TFF
Soffic.01G0012570-1G	C2C2-YABBY	TFF
Soffic.08G0014200-8C	ABI3VP1	TFF
Soffic.05G0003530-5H	bZIP	TFF
Soffic.02G0035300-2D	SART-1	OTR
Soffic.04G0026580-4G	ARID	OTR
Soffic.03G0005290-3F	C2H2	TFF
Soffic.07G0018440-7A	NAC	TFF
