gene	protein	best_anchor	pident	evalue	bitscore	qcov	scov
SoffiXsponR570.06Fg031900	SoffiXsponR570.06Fg031900.1.p	Sb|SORBI_3009G036500	97.9	1.15e-313	849	100	100
SoffiXsponR570.06Eg039800	SoffiXsponR570.06Eg039800.1.p	Sb|SORBI_3009G036500	97.9	2.31e-313	848	100	100
SoffiXsponR570.06Bg004700	SoffiXsponR570.06Bg004700.1.p	Sb|SORBI_3009G036500	97.7	9.42e-313	847	100	100
SoffiXsponR570.06Cg013000	SoffiXsponR570.06Cg013000.1.p	Sb|SORBI_3009G036500	97.7	9.42e-313	847	100	100
SoffiXsponR570.6_9Ag129100	SoffiXsponR570.6_9Ag129100.1.p	Sb|SORBI_3009G036500	97.4	1.34e-312	847	100	100
SoffiXsponR570.6us88g027600	SoffiXsponR570.6us88g027600.1.p	Sb|SORBI_3009G036500	97.7	3.83e-312	845	100	100
SoffiXsponR570.02Eg097100	SoffiXsponR570.02Eg097100.1.p	Sb|SORBI_3003G136600	98.6	1.23e-311	844	100	100
SoffiXsponR570.06Ag034500	SoffiXsponR570.06Ag034500.1.p	Sb|SORBI_3009G036500	97.7	1.62e-311	844	100	100
SoffiXsponR570.02Dg128600	SoffiXsponR570.02Dg128600.1.p	Sb|SORBI_3003G136600	98.1	7.13e-311	842	100	100
SoffiXsponR570.02Ag129700	SoffiXsponR570.02Ag129700.1.p	Sb|SORBI_3003G136600	98.1	2.90e-310	840	100	100
SoffiXsponR570.02Cg127200	SoffiXsponR570.02Cg127200.1.p	Sb|SORBI_3003G136600	98.1	2.90e-310	840	100	100
SoffiXsponR570.02Fg126200	SoffiXsponR570.02Fg126200.1.p	Sb|SORBI_3003G136600	97.9	1.68e-309	838	100	100
SoffiXsponR570.06Cg161000	SoffiXsponR570.06Cg161000.1.p	Os|Os05g0140100	50.4	4.73e-73	234	61.6	77.9
SoffiXsponR570.6_9Ag296700	SoffiXsponR570.6_9Ag296700.1.p	Os|Os05g0140100	49.6	4.73e-73	234	61.6	77.9
SoffiXsponR570.06Ag185100	SoffiXsponR570.06Ag185100.1.p	Os|Os05g0140100	49.3	1.33e-72	233	61.6	77.9
SoffiXsponR570.06Dg122700	SoffiXsponR570.06Dg122700.1.p	Os|Os05g0140100	50.2	1.66e-72	233	61.6	77.6
SoffiXsponR570.06Fg129900	SoffiXsponR570.06Fg129900.1.p	Os|Os05g0140100	49.3	1.33e-72	233	61.6	77.9
SoffiXsponR570.08Cg044000	SoffiXsponR570.08Cg044000.1.p	Os|Os05g0140100	48.9	1.40e-61	205	53.9	64.7
SoffiXsponR570.8_10Ag165800	SoffiXsponR570.8_10Ag165800.1.p	Os|Os05g0140100	49.4	1.91e-61	205	53.9	64.6
SoffiXsponR570.8_5Ag046600	SoffiXsponR570.8_5Ag046600.1.p	Os|Os05g0140100	48.9	1.40e-61	205	53.9	64.7
SoffiXsponR570.08Ag044200	SoffiXsponR570.08Ag044200.1.p	Os|Os05g0140100	48.5	3.89e-61	204	53.9	64.7
