species	gene	bridge_status	orthogroup
sugarcane	SoffiXsponR570.02Cg127200	unassigned_singleton	-
sugarcane	SoffiXsponR570.02Dg128600	in_orthogroup	OG0084639
sugarcane	SoffiXsponR570.02Eg097100	unassigned_singleton	-
sugarcane	SoffiXsponR570.02Fg126200	in_orthogroup	OG0082347
sugarcane	SoffiXsponR570.06Ag034500	in_orthogroup	OG0074759
sugarcane	SoffiXsponR570.06Bg004700	unassigned_singleton	-
sugarcane	SoffiXsponR570.06Cg013000	unassigned_singleton	-
sugarcane	SoffiXsponR570.06Eg039800	in_orthogroup	OG0011462
sugarcane	SoffiXsponR570.06Fg031900	in_orthogroup	OG0070483
sugarcane	SoffiXsponR570.6_9Ag129100	unassigned_singleton	-
sugarcane	SoffiXsponR570.6us88g027600	unassigned_singleton	-
purple	Soffic.03D0011800-3D	in_orthogroup	OG0017308
purple	Soffic.03E0011140-3E	in_orthogroup	OG0017308
purple	Soffic.03G0011080-3A	unassigned_singleton	-
purple	Soffic.03G0011160-3E	unassigned_singleton	-
purple	Soffic.03G0011270-3G	in_orthogroup	OG0084639
purple	Soffic.03G0011310-3B	in_orthogroup	OG0017308
purple	Soffic.03G0011670-3F	in_orthogroup	OG0082347
purple	Soffic.03H0011570-3H	in_orthogroup	OG0017308
purple	Soffic.09B0003350-9B	in_orthogroup	OG0011462
purple	Soffic.09F0003800-9F	in_orthogroup	OG0011462
purple	Soffic.09G0002760-9D	unassigned_singleton	-
purple	Soffic.09G0003220-9C	in_orthogroup	OG0074759
purple	Soffic.09G0003220-9G	in_orthogroup	OG0011462
purple	Soffic.09G0003300-9B	in_orthogroup	OG0070483
purple	Soffic.09G0003580-9A	in_orthogroup	OG0011462
purple	Soffic.09H0003560-9H	in_orthogroup	OG0011462
