transcript	family	munoz_degree	munoz_betweenness	sugarcane_genes	purple_genes
SCA3__SP803280_c111248_g1_i4	MYB_related	8	4492	14	12
N_R___TRINITY_DN8473_c0_g3_i3	no_tf	13	762	10	12
SCA2_2__c76820f1p01331	MYB	11	5067	9	3
SCA2_2__c55824f2p11649	MYB_related	14	6548	8	3
SCA2_2__c76396f1p01512	MYB_related	12	18551	8	3
SCA2_2__c87778f1p01484	MYB_related	7	2401	8	3
N_NR___TRINITY_DN30_c0_g1_i9	MYB_related	12	8552	1	0
SCA2_2__c65732f1p01355	MYB_related	9	0	1	0
SCA2_2__c87109f1p01887	MYB_related	12	0	1	0
SCA3__SP803280_c111248_g1_i2	MYB_related	6	26805	1	0
N_R___TRINITY_DN20_c0_g1_i6	no_tf	8	194	0	0
N_R___TRINITY_DN331_c0_g1_i3	no_tf	2	0	0	0
