orf	transcript	orf_type	orf_len
SCA2_2__c87109f1p01887.p1	SCA2_2__c87109f1p01887	complete	138
SCA2_2__c87109f1p01887.p2	SCA2_2__c87109f1p01887	complete	108
SCA2_2__c55824f2p11649.p1	SCA2_2__c55824f2p11649	complete	252
SCA2_2__c55824f2p11649.p2	SCA2_2__c55824f2p11649	complete	108
SCA2_2__c65732f1p01355.p1	SCA2_2__c65732f1p01355	5prime_partial	341
SCA2_2__c65732f1p01355.p2	SCA2_2__c65732f1p01355	complete	181
SCA2_2__c76396f1p01512.p1	SCA2_2__c76396f1p01512	complete	260
SCA2_2__c76396f1p01512.p2	SCA2_2__c76396f1p01512	5prime_partial	166
SCA2_2__c76820f1p01331.p1	SCA2_2__c76820f1p01331	complete	324
SCA2_2__c76820f1p01331.p2	SCA2_2__c76820f1p01331	5prime_partial	101
SCA2_2__c87778f1p01484.p1	SCA2_2__c87778f1p01484	complete	252
SCA2_2__c87778f1p01484.p2	SCA2_2__c87778f1p01484	complete	108
N_NR___TRINITY_DN30_c0_g1_i9.p1	N_NR___TRINITY_DN30_c0_g1_i9	complete	108
N_NR___TRINITY_DN30_c0_g1_i9.p2	N_NR___TRINITY_DN30_c0_g1_i9	complete	106
N_R___TRINITY_DN8473_c0_g3_i3.p1	N_R___TRINITY_DN8473_c0_g3_i3	complete	789
N_R___TRINITY_DN8473_c0_g3_i3.p2	N_R___TRINITY_DN8473_c0_g3_i3	complete	114
N_R___TRINITY_DN8473_c0_g3_i3.p3	N_R___TRINITY_DN8473_c0_g3_i3	complete	111
SCA3__SP803280_c111248_g1_i2.p1	SCA3__SP803280_c111248_g1_i2	5prime_partial	169
SCA3__SP803280_c111248_g1_i2.p2	SCA3__SP803280_c111248_g1_i2	complete	168
SCA3__SP803280_c111248_g1_i2.p3	SCA3__SP803280_c111248_g1_i2	complete	110
SCA3__SP803280_c111248_g1_i2.p4	SCA3__SP803280_c111248_g1_i2	complete	108
SCA3__SP803280_c111248_g1_i4.p1	SCA3__SP803280_c111248_g1_i4	complete	383
SCA3__SP803280_c111248_g1_i4.p2	SCA3__SP803280_c111248_g1_i4	complete	108
