orthogroup	n_purple_total	n_sugarcane_total	MYB61_purple	MYB61_sugarcane	kiet_locus_copies
OG0001026	14	1	-	-	Soffic.09G0002230-9B
OG0004289	1	8	-	-	Soffic.09G0002230-9C
OG0011462	5	1	Soffic.09B0003350-9B,Soffic.09F0003800-9F,Soffic.09G0003220-9G,Soffic.09G0003580-9A,Soffic.09H0003560-9H	SoffiXsponR570.06Eg039800	-
OG0017308	4	1	Soffic.03D0011800-3D,Soffic.03E0011140-3E,Soffic.03G0011310-3B,Soffic.03H0011570-3H	-	-
OG0043621	2	1	-	-	Soffic.09G0002230-9G
OG0050877	1	1	-	-	Soffic.09G0002230-9D
OG0070483	1	1	Soffic.09G0003300-9B	SoffiXsponR570.06Fg031900	-
OG0074759	1	1	Soffic.09G0003220-9C	SoffiXsponR570.06Ag034500	-
OG0082347	1	1	Soffic.03G0011670-3F	SoffiXsponR570.02Fg126200	-
OG0084639	1	1	Soffic.03G0011270-3G	SoffiXsponR570.02Dg128600	-
