label	class
At|AT1G09540	At
Sb|SORBI_3003G136600	Sb
Sb|SORBI_3009G036500	Sb
Os|Os01g0285300	Os
Os|Os05g0140100	Os
SC_MYB61|SoffiXsponR570.06Bg004700.1.p	SC_MYB61
SC_MYB61|SoffiXsponR570.06Ag034500.1.p	SC_MYB61
SC_MYB61|SoffiXsponR570.06Fg031900.1.p	SC_MYB61
SC_MYB61|SoffiXsponR570.06Cg013000.1.p	SC_MYB61
SC_MYB61|SoffiXsponR570.02Dg128600.1.p	SC_MYB61
SC_MYB61|SoffiXsponR570.6_9Ag129100.1.p	SC_MYB61
SC_MYB61|SoffiXsponR570.06Eg039800.1.p	SC_MYB61
SC_MYB61|SoffiXsponR570.02Eg097100.1.p	SC_MYB61
SC_MYB61|SoffiXsponR570.02Fg126200.1.p	SC_MYB61
SC_MYB61|SoffiXsponR570.6us88g027600.1.p	SC_MYB61
SC_MYB61|SoffiXsponR570.02Cg127200.1.p	SC_MYB61
PU_MYB61|Soffic.03G0011080-3A	PU_MYB61
PU_MYB61|Soffic.09G0003580-9A	PU_MYB61
PU_MYB61|Soffic.03G0011310-3B	PU_MYB61
PU_MYB61|Soffic.09G0003300-9B	PU_MYB61
PU_MYB61|Soffic.09B0003350-9B	PU_MYB61
PU_MYB61|Soffic.09G0003220-9C	PU_MYB61
PU_MYB61|Soffic.03D0011800-3D	PU_MYB61
PU_MYB61|Soffic.09G0002760-9D	PU_MYB61
PU_MYB61|Soffic.03E0011140-3E	PU_MYB61
PU_MYB61|Soffic.03G0011160-3E	PU_MYB61
PU_MYB61|Soffic.03G0011670-3F	PU_MYB61
PU_MYB61|Soffic.09F0003800-9F	PU_MYB61
PU_MYB61|Soffic.03G0011270-3G	PU_MYB61
PU_MYB61|Soffic.09G0003220-9G	PU_MYB61
PU_MYB61|Soffic.03H0011570-3H	PU_MYB61
PU_MYB61|Soffic.09H0003560-9H	PU_MYB61
SC_decoy|SoffiXsponR570.8_10Ag165800.1.p	SC_decoy
SC_decoy|SoffiXsponR570.08Cg044000.1.p	SC_decoy
SC_decoy|SoffiXsponR570.06Ag185100.1.p	SC_decoy
SC_decoy|SoffiXsponR570.06Fg129900.1.p	SC_decoy
SC_decoy|SoffiXsponR570.06Cg161000.1.p	SC_decoy
SC_decoy|SoffiXsponR570.6_9Ag296700.1.p	SC_decoy
SC_decoy|SoffiXsponR570.08Ag044200.1.p	SC_decoy
SC_decoy|SoffiXsponR570.8_5Ag046600.1.p	SC_decoy
SC_decoy|SoffiXsponR570.02Ag129700.1.p	SC_decoy
SC_decoy|SoffiXsponR570.06Dg122700.1.p	SC_decoy
PU_decoy|Soffic.07G0002280-7A	PU_decoy
PU_decoy|Soffic.09G0020340-9A	PU_decoy
PU_decoy|Soffic.09G0018930-9B	PU_decoy
PU_decoy|Soffic.07C0002320-7C	PU_decoy
PU_decoy|Soffic.09C0020050-9C	PU_decoy
PU_decoy|Soffic.09G0019320-9D	PU_decoy
PU_decoy|Soffic.07G0002500-7E	PU_decoy
PU_decoy|Soffic.09G0020050-9F	PU_decoy
PU_decoy|Soffic.07G0003230-7G	PU_decoy
PU_decoy|Soffic.07G0003240-7G	PU_decoy
PU_decoy|Soffic.09G0018290-9G	PU_decoy
PU_decoy|Soffic.07H0002570-7H	PU_decoy
PU_decoy|Soffic.09H0019460-9H	PU_decoy
At_decoy|AT4G38620	At_decoy
At_decoy|AT1G63910	At_decoy
At_decoy|AT3G12720	At_decoy
At_decoy|AT4G34990	At_decoy
At_decoy|AT2G16720	At_decoy
At_decoy|AT1G22640	At_decoy
At_decoy|AT3G13890	At_decoy
At_decoy|AT4G01680	At_decoy
At_decoy|AT1G57560	At_decoy
At_decoy|AT4G09460	At_decoy
At_decoy|AT5G26660	At_decoy
