set	gene	clade	in_network	degree	genotype	mean_tpm	anova_p	anova_padj	U_est	U_p	U_padj	lin_est	lin_p	lin_padj	interaction_p	interaction_padj	pearson_pooled	pearson_p
Kiet id 09G0002230	Soffic.09G0002230-9A	published locus			51NG3	0.005918	0.421875		0.0249547842910737	0.506021422888184		0.0249547842910737	0.266569703380069		0.270263943743015		0.129761102615863	0.607821824096097
Kiet id 09G0002230	Soffic.09G0002230-9A	published locus			TAGZ	0.00897166666666667	0.421875		-0.0746841078064965	0.20703125		0	1		0.270263943743015		0.129761102615863	0.607821824096097
Kiet id 09G0002230	Soffic.09G0002230-9B	published locus			51NG3	0												
Kiet id 09G0002230	Soffic.09G0002230-9B	published locus			TAGZ	0												
Kiet id 09G0002230	Soffic.09G0002230-9C	published locus			51NG3	1.16359633333333	0.441158690722372		-0.171558359308321	0.897210295063062		1.003381667513	0.221185968160186		0.127136611305372		-0.0120373393631391	0.962190382443536
Kiet id 09G0002230	Soffic.09G0002230-9C	published locus			TAGZ	5.63745155555556	0.227661399738384		-0.484940503949192	0.616987610647498		-1.00043075790442	0.108595753996394		0.127136611305372		-0.0120373393631391	0.962190382443536
Kiet id 09G0002230	Soffic.09G0002230-9D	published locus			51NG3	0.001792	0.421875		0.00769404917244485	0.506021422888184		-0.00769404917244485	0.266569703380069		0.396569456603966		-0.259281489420866	0.29881898591688
Kiet id 09G0002230	Soffic.09G0002230-9D	published locus			TAGZ	0									0.396569456603966		-0.259281489420866	0.29881898591688
Kiet id 09G0002230	Soffic.09G0002230-9G	published locus			51NG3	79.598587	0.0162389908448735		0.965666903173934	0.0270895211845894		-0.583116463147766	0.0227935248441611		0.00115791543532893		-0.0314392618924606	0.901442440425916
Kiet id 09G0002230	Soffic.09G0002230-9G	published locus			TAGZ	43.9655072222222	0.0283694995686643		0.0857214960620008	0.655927728060223		0.38742238099463	0.0104807064313867		0.00115791543532893		-0.0314392618924606	0.901442440425916
MYB61 (this work)	Soffic.03D0011800-3D	chr3-type co-ortholog	TRUE	598	51NG3	0.149710555555556	0.0388655515441016	0.0631565212591651	-0.728875595494068	0.0146278148522811	0.0266957227582176	-0.0559012058905494	0.668049263467129	0.964960047230297	0.0167938288275109	0.035986776058952	-0.155197475486741	0.538607056802774
MYB61 (this work)	Soffic.03D0011800-3D	chr3-type co-ortholog	TRUE	598	TAGZ	0									0.0167938288275109	0.035986776058952	-0.155197475486741	0.538607056802774
MYB61 (this work)	Soffic.03E0011140-3E	chr3-type co-ortholog	TRUE	105	51NG3	0									0.396569456603966	0.540776531732681	-0.259281489420866	0.29881898591688
MYB61 (this work)	Soffic.03E0011140-3E	chr3-type co-ortholog	TRUE	105	TAGZ	0.0363163333333333	0.421875	0.553192188266915	0.13600067391672	0.506021422888184	0.825627786293885	-0.13600067391672	0.266569703380069	0.366032756364714	0.396569456603966	0.540776531732681	-0.259281489420866	0.29881898591688
MYB61 (this work)	Soffic.03G0011080-3A	chr3-type co-ortholog	TRUE	1173	51NG3	0.00624977777777778	0.0790288083170136	0.102737450812118	-0.0533517981851349	0.0301485951192996	0.0391931736550894	0	1	1	0.046914720408171	0.078191200680285	-0.0944502465959344	0.709308077108639
MYB61 (this work)	Soffic.03G0011080-3A	chr3-type co-ortholog	TRUE	1173	TAGZ	0									0.046914720408171	0.078191200680285	-0.0944502465959344	0.709308077108639
MYB61 (this work)	Soffic.03G0011160-3E	chr3-type co-ortholog	FALSE		51NG3	0												
MYB61 (this work)	Soffic.03G0011160-3E	chr3-type co-ortholog	FALSE		TAGZ	0												
MYB61 (this work)	Soffic.03G0011270-3G	chr3-type co-ortholog	TRUE	183	51NG3	0.464383333333333	0.0450841699698477	0.0651215788453355	-1.841830834615	0.0184816542172276	0.0266957227582176	-0.253919194304206	0.473100557704766	0.768788406270244	0.0192297963437958	0.0360558681446171	-0.392575908581694	0.107080391803796
MYB61 (this work)	Soffic.03G0011270-3G	chr3-type co-ortholog	TRUE	183	TAGZ	0.230466	0.118815722625026	0.553192188266915	0.428590393637148	0.304278155727698	0.825627786293885	-0.489810857684924	0.0678875996999328	0.288733824718055	0.0192297963437958	0.0360558681446171	-0.392575908581694	0.107080391803796
MYB61 (this work)	Soffic.03G0011310-3B	chr3-type co-ortholog	TRUE	246	51NG3	0.0796875555555556	0.026819432559668	0.0498075176108119	-0.440286842782496	0.0108537370230702	0.023516430216652	-0.0627125850704711	0.403950981754187	0.768788406270244	0.18906426737905	0.283596401068575	-0.470507567926929	0.048772682022248
MYB61 (this work)	Soffic.03G0011310-3B	chr3-type co-ortholog	TRUE	246	TAGZ	0.246763555555556	0.208519017185509	0.553192188266915	-0.0220040369407362	0.957107308099911	0.957107308099911	-0.459627394642978	0.0888411768363247	0.288733824718055	0.18906426737905	0.283596401068575	-0.470507567926929	0.048772682022248
MYB61 (this work)	Soffic.03G0011670-3F	chr3-type co-ortholog	TRUE	674	51NG3	1.49712811111111	0.00171625655708435	0.0103107334171242	-3.57377686366445	0.000584961784092864	0.00355160013635098	-0.251341395041565	0.452532174915069	0.768788406270244	0.000675676589859176	0.00394723325269346	-0.373193973008232	0.127162042142924
MYB61 (this work)	Soffic.03G0011670-3F	chr3-type co-ortholog	TRUE	674	TAGZ	0.422299555555556	0.080224952538289	0.553192188266915	0.355854452095091	0.529451405576985	0.825627786293885	-0.841422404469601	0.0340726559098795	0.288733824718055	0.000675676589859176	0.00394723325269346	-0.373193973008232	0.127162042142924
MYB61 (this work)	Soffic.03H0011570-3H	chr3-type co-ortholog	TRUE	783	51NG3	1.48530766666667	0.00237940001933636	0.0103107334171242	-3.71025866602521	0.000819600031465611	0.00355160013635098	-0.27838185972323	0.451948295418266	0.768788406270244	0.000789446650538692	0.00394723325269346	-0.306605947424944	0.215899396298765
MYB61 (this work)	Soffic.03H0011570-3H	chr3-type co-ortholog	TRUE	783	TAGZ	0.226114444444444	0.168427234279001	0.553192188266915	0.137595914868684	0.761283090675062	0.825627786293885	-0.54528194359874	0.0718090625915643	0.288733824718055	0.000789446650538692	0.00394723325269346	-0.306605947424944	0.215899396298765
MYB61 (this work)	Soffic.09B0003350-9B	chr9-type co-ortholog	TRUE	826	51NG3	0.0148014444444444	0.421875	0.45703125	0.0601396857471995	0.506021422888184	0.548189874795532	-0.0601396857471995	0.266569703380069	0.768788406270244	0.632476121946092	0.632476121946092	-0.323070579861371	0.19098484335776
MYB61 (this work)	Soffic.09B0003350-9B	chr9-type co-ortholog	TRUE	826	TAGZ	0.0917527777777778	0.469617479765746	0.554709580373678	0.190592438556135	0.635317563420355	0.825627786293885	-0.267164920937897	0.270942180196681	0.366032756364714	0.632476121946092	0.632476121946092	-0.323070579861371	0.19098484335776
MYB61 (this work)	Soffic.09F0003800-9F	chr9-type co-ortholog	TRUE	522	51NG3	0.413527888888889	0.000332800391273629	0.00432640508655717	-2.17656345594684	0.00010682673315388	0.00138874753100044	0.0055444935020698	0.969692029197707	1	4.82747444671842e-06	7.24121167007763e-05	-0.125415962791773	0.619992720638834
MYB61 (this work)	Soffic.09F0003800-9F	chr9-type co-ortholog	TRUE	522	TAGZ	0.00747533333333333	0.421875	0.553192188266915	0.0313120040448765	0.506021422888184	0.825627786293885	-0.0313120040448765	0.266569703380069	0.366032756364714	4.82747444671842e-06	7.24121167007763e-05	-0.125415962791773	0.619992720638834
MYB61 (this work)	Soffic.09G0002760-9D	chr9-type co-ortholog	TRUE	1049	51NG3	0.00324355555555556	0.421875	0.45703125	-0.0276747653549359	0.20703125	0.244673295454545	0	1	1	0.448614566768353	0.560768208460441	-0.2833885379521	0.254471334301325
MYB61 (this work)	Soffic.09G0002760-9D	chr9-type co-ortholog	TRUE	1049	TAGZ	0.0184028888888889	0.512039612652626	0.554709580373678	0.0276308225296443	0.762117956578971	0.825627786293885	-0.0595668734792242	0.281563658742088	0.366032756364714	0.448614566768353	0.560768208460441	-0.2833885379521	0.254471334301325
MYB61 (this work)	Soffic.09G0003220-9C	chr9-type co-ortholog	TRUE	20761	51NG3	0.720922333333333	0.0258344209575545	0.0498075176108119	-1.40021505064211	0.0182665932357921	0.0266957227582176	-0.500753584639765	0.0935789751748169	0.768788406270244	0.0135901663518481	0.0339754158796203	-0.322797869861323	0.191381215810079
