orf	our_family	our_type	transcript	orf_type	orf_len
N_NR___TRINITY_DN30_c0_g1_i9.p1	MYB-related	TFF	N_NR___TRINITY_DN30_c0_g1_i9	complete	108
SCA2_2__c55824f2p11649.p1	MYB-related	TFF	SCA2_2__c55824f2p11649	complete	252
SCA2_2__c55824f2p11649.p2	MYB-related	TFF	SCA2_2__c55824f2p11649	complete	108
SCA2_2__c65732f1p01355.p1	MYB-related	TFF	SCA2_2__c65732f1p01355	5prime_partial	341
SCA2_2__c76396f1p01512.p1	MYB-related	TFF	SCA2_2__c76396f1p01512	complete	260
SCA2_2__c76820f1p01331.p1	MYB	TFF	SCA2_2__c76820f1p01331	complete	324
SCA2_2__c87109f1p01887.p2	MYB-related	TFF	SCA2_2__c87109f1p01887	complete	108
SCA2_2__c87778f1p01484.p1	MYB-related	TFF	SCA2_2__c87778f1p01484	complete	252
SCA2_2__c87778f1p01484.p2	MYB-related	TFF	SCA2_2__c87778f1p01484	complete	108
SCA3__SP803280_c111248_g1_i2.p4	MYB-related	TFF	SCA3__SP803280_c111248_g1_i2	complete	108
SCA3__SP803280_c111248_g1_i4.p1	MYB-related	TFF	SCA3__SP803280_c111248_g1_i4	complete	383
SCA3__SP803280_c111248_g1_i4.p2	MYB-related	TFF	SCA3__SP803280_c111248_g1_i4	complete	108
