gene	protein	best_anchor	pident	evalue	bitscore	qcov	scov	best_At_hit	At_bitscore	RBH_is_MYB61	our_TF_family	is_MYB_call	verdict
Soffic.09G0003300-9B	Soffic.09G0003300-9B	Sb|SORBI_3009G036500	97.9	8.67e-314	849	100	100	AT1G09540	270	yes	MYB	yes	MYB61_ortholog
Soffic.09B0003350-9B	Soffic.09B0003350-9B	Sb|SORBI_3009G036500	97.9	1.75e-313	848	100	100	AT1G09540	270	yes	MYB	yes	MYB61_ortholog
Soffic.09F0003800-9F	Soffic.09F0003800-9F	Sb|SORBI_3009G036500	97.9	1.75e-313	848	100	100	AT1G09540	270	yes	MYB	yes	MYB61_ortholog
Soffic.09G0003220-9G	Soffic.09G0003220-9G	Sb|SORBI_3009G036500	97.9	1.75e-313	848	100	100	AT1G09540	270	yes	MYB	yes	MYB61_ortholog
Soffic.09G0003580-9A	Soffic.09G0003580-9A	Sb|SORBI_3009G036500	97.9	1.75e-313	848	100	100	AT1G09540	270	yes	MYB	yes	MYB61_ortholog
Soffic.09H0003560-9H	Soffic.09H0003560-9H	Sb|SORBI_3009G036500	97.9	1.75e-313	848	100	100	AT1G09540	270	yes	MYB	yes	MYB61_ortholog
Soffic.09G0003220-9C	Soffic.09G0003220-9C	Sb|SORBI_3009G036500	97.7	1.23e-311	844	100	100	AT1G09540	270	yes	MYB	yes	MYB61_ortholog
Soffic.03G0011270-3G	Soffic.03G0011270-3G	Sb|SORBI_3003G136600	98.4	1.32e-311	843	100	100	AT1G09540	280	yes	MYB	yes	MYB61_ortholog
Soffic.03D0011800-3D	Soffic.03D0011800-3D	Sb|SORBI_3003G136600	98.1	2.20e-310	840	100	100	AT1G09540	280	yes	MYB	yes	MYB61_ortholog
Soffic.03E0011140-3E	Soffic.03E0011140-3E	Sb|SORBI_3003G136600	98.1	2.20e-310	840	100	100	AT1G09540	280	yes	MYB	yes	MYB61_ortholog
Soffic.03G0011310-3B	Soffic.03G0011310-3B	Sb|SORBI_3003G136600	98.1	2.20e-310	840	100	100	AT1G09540	280	yes	MYB	yes	MYB61_ortholog
Soffic.03H0011570-3H	Soffic.03H0011570-3H	Sb|SORBI_3003G136600	98.1	2.20e-310	840	100	100	AT1G09540	280	yes	MYB	yes	MYB61_ortholog
Soffic.03G0011670-3F	Soffic.03G0011670-3F	Sb|SORBI_3003G136600	97.9	1.27e-309	838	100	100	AT1G09540	279	yes	MYB	yes	MYB61_ortholog
Soffic.03G0011160-3E	Soffic.03G0011160-3E	Sb|SORBI_3003G136600	97.7	7.34e-309	837	100	100	AT1G09540	277	yes	MYB	yes	MYB61_ortholog
Soffic.03G0011080-3A	Soffic.03G0011080-3A	Sb|SORBI_3003G136600	97.7	1.48e-308	836	100	100	AT1G09540	281	yes	MYB	yes	MYB61_ortholog
Soffic.09G0002760-9D	Soffic.09G0002760-9D	Sb|SORBI_3009G036500	96.4	3.47e-302	821	98.1	91.9	AT1G09540	270	yes	MYB	yes	MYB61_ortholog
Soffic.09G0020050-9F	Soffic.09G0020050-9F	Os|Os05g0140100	50.0	9.03e-74	236	61.6	77.9	AT5G26660	234	no	MYB	yes	other_MYB
Soffic.09G0018290-9G	Soffic.09G0018290-9G	Os|Os05g0140100	49.6	2.54e-73	234	61.6	77.9	AT5G26660	234	no	MYB	yes	other_MYB
Soffic.09C0020050-9C	Soffic.09C0020050-9C	Os|Os05g0140100	49.3	1.00e-72	233	61.6	77.9	AT5G26660	232	no	MYB	yes	other_MYB
Soffic.09G0019320-9D	Soffic.09G0019320-9D	Os|Os05g0140100	50.2	1.25e-72	233	61.6	77.6	AT5G26660	232	no	MYB	yes	other_MYB
Soffic.09G0020340-9A	Soffic.09G0020340-9A	Os|Os05g0140100	49.3	1.00e-72	233	61.6	77.9	AT5G26660	232	no	MYB	yes	other_MYB
Soffic.09H0019460-9H	Soffic.09H0019460-9H	Os|Os05g0140100	49.3	1.00e-72	233	61.6	77.9	AT5G26660	232	no	MYB	yes	other_MYB
Soffic.09G0018930-9B	Soffic.09G0018930-9B	Os|Os05g0140100	47.3	2.66e-69	224	61.6	78.6	AT5G26660	224	no	MYB	yes	other_MYB
Soffic.07G0002500-7E	Soffic.07G0002500-7E	Os|Os05g0140100	48.9	1.06e-61	205	53.9	64.7	AT1G63910	259	no	MYB	yes	other_MYB
Soffic.07G0003230-7G	Soffic.07G0003230-7G	Os|Os05g0140100	48.9	1.06e-61	205	53.9	64.7	AT1G63910	259	no	MYB	yes	other_MYB
Soffic.07G0003240-7G	Soffic.07G0003240-7G	Os|Os05g0140100	48.9	1.06e-61	205	53.9	64.7	AT1G63910	259	no	MYB	yes	other_MYB
Soffic.07H0002570-7H	Soffic.07H0002570-7H	Os|Os05g0140100	48.9	1.06e-61	205	53.9	64.7	AT1G63910	259	no	MYB	yes	other_MYB
Soffic.07C0002320-7C	Soffic.07C0002320-7C	Os|Os05g0140100	48.5	2.94e-61	204	53.9	64.7	AT1G63910	259	no	MYB	yes	other_MYB
Soffic.07G0002280-7A	Soffic.07G0002280-7A	Os|Os05g0140100	48.5	2.94e-61	204	53.9	64.7	AT1G63910	259	no	MYB	yes	other_MYB
